id,name,date_of_birth,height,weight,spike,block,link
55,Denise Hanke,31/08/1989,183,73,297,284,Players.asp?Tourn=WGP2010&Team=GER&No=119105
56,Kerstin Tzscherlich,15/02/1978,179,72,295,282,Players.asp?Tourn=WGP2010&Team=GER&No=111003
57,Lena Möllers,6/01/1990,188,74,312,297,Players.asp?Tourn=WGP2010&Team=GER&No=118946
58,Saskia Hippe,16/01/1991,185,67,315,292,Players.asp?Tourn=WGP2010&Team=GER&No=118954
59,Imke Wedekind,23/06/1984,195,78,307,295,Players.asp?Tourn=WGP2010&Team=GER&No=132559
60,Berit Kauffeldt,8/07/1990,190,75,311,294,Players.asp?Tourn=WGP2010&Team=GER&No=118959
61,Corina Ssuschke-Voigt,9/05/1983,189,75,310,298,Players.asp?Tourn=WGP2010&Team=GER&No=112479
62,Anne Matthes,30/04/1985,182,66,312,295,Players.asp?Tourn=WGP2010&Team=GER&No=120334
63,Janine Völker,19/09/1991,0,0,301,290,Players.asp?Tourn=WGP2010&Team=GER&No=147161
64,Heike Beier,9/12/1983,184,73,305,293,Players.asp?Tourn=WGP2010&Team=GER&No=112477
65,Sarah Petrausch,31/07/1990,187,85,306,295,Players.asp?Tourn=WGP2010&Team=GER&No=118953
66,Margareta Kozuch,30/10/1986,187,70,309,297,Players.asp?Tourn=WGP2010&Team=GER&No=116179
67,Maren Fromm,10/07/1986,184,68,303,295,Players.asp?Tourn=WGP2010&Team=GER&No=120333
68,Anja Brandt,15/02/1990,195,77,310,295,Players.asp?Tourn=WGP2010&Team=GER&No=119318
69,Patricia Grohmann,27/01/1990,186,80,303,289,Players.asp?Tourn=WGP2010&Team=GER&No=118952
70,Nadja Schaus,8/11/1984,187,66,305,295,Players.asp?Tourn=WGP2010&Team=GER&No=123177
71,Tatjana Zautys,4/05/1980,0,0,308,293,Players.asp?Tourn=WGP2010&Team=GER&No=157402
72,Cristina Barcellini,20/11/1986,183,78,307,292,Players.asp?Tourn=WGP2010&Team=ITA&No=124171
73,Ilaria Garzaro,29/09/1986,189,70,312,292,Players.asp?Tourn=WGP2010&Team=ITA&No=113995
74,Lucia Crisanti,16/03/1986,186,70,312,292,Players.asp?Tourn=WGP2010&Team=ITA&No=113996
75,Giulia Rondon,16/10/1987,189,74,304,280,Players.asp?Tourn=WGP2010&Team=ITA&No=114533
76,Enrica Merlo,28/12/1988,170,60,281,262,Players.asp?Tourn=WGP2010&Team=ITA&No=119188
77,Annamaria Quaranta,19/10/1981,184,67,305,280,Players.asp?Tourn=WGP2010&Team=ITA&No=124170
78,Jenny Barazza,24/07/1981,188,77,300,285,Players.asp?Tourn=WGP2010&Team=ITA&No=113621
79,Francesca Marcon,9/07/1983,180,65,301,282,Players.asp?Tourn=WGP2010&Team=ITA&No=124169
80,Paola Cardullo,18/03/1982,159,56,275,268,Players.asp?Tourn=WGP2010&Team=ITA&No=112515
81,Serena Ortolani,7/01/1987,187,63,320,240,Players.asp?Tourn=WGP2010&Team=ITA&No=113993
82,Francesca Piccinini,10/01/1979,184,71,304,279,Players.asp?Tourn=WGP2010&Team=ITA&No=113626
83,Valentina Arrighetti,26/01/1985,185,72,318,310,Players.asp?Tourn=WGP2010&Team=ITA&No=112728
84,Eleonora Lo Bianco,22/12/1979,171,67,287,273,Players.asp?Tourn=WGP2010&Team=ITA&No=113627
85,Antonella Del Core,5/11/1980,180,70,296,279,Players.asp?Tourn=WGP2010&Team=ITA&No=114249
86,Lucia Bosetti,9/07/1989,178,63,310,292,Players.asp?Tourn=WGP2010&Team=ITA&No=115816
87,Simona Gioli,17/09/1977,185,70,307,283,Players.asp?Tourn=WGP2010&Team=ITA&No=113905
88,Marta Bechis,4/09/1989,181,59,290,273,Players.asp?Tourn=WGP2010&Team=ITA&No=132038
89,Saori Arita,10/07/1984,180,71,305,296,Players.asp?Tourn=WGP2010&Team=JPN&No=112714
90,Yoshie Takeshita,18/03/1978,159,53,280,270,Players.asp?Tourn=WGP2010&Team=JPN&No=111715
91,Kaori Inoue,21/10/1982,182,59,306,300,Players.asp?Tourn=WGP2010&Team=JPN&No=122612
