id,name,link,date_of_birth,height,weight,spike,block,age
115,Soyoung Lee,/en/competition/teams/kor-korea/players/soyoung-lee?id=68845,17/10/1994,176,68,279,269,26
116,Jeongah Park,/en/competition/teams/kor-korea/players/jeongah-park?id=68848,26/03/1993,187,75,300,290,27
117,Hyo Jin Yang,/en/competition/teams/kor-korea/players/hyo-jin-yang?id=68849,14/12/1989,190,72,340,338,31
118,Sohwi Kang,/en/competition/teams/kor-korea/players/sohwi-kang?id=68833,18/07/1997,180,65,286,276,23
119,Jae-Eun Lee,/en/competition/teams/kor-korea/players/jae-eun-lee?id=68841,11/03/1987,176,63,274,272,33
120,Jaeyeong Lee,/en/competition/teams/kor-korea/players/jaeyeong-lee?id=68842,15/10/1996,178,65,289,279,24
121,Sooji Han,/en/competition/teams/kor-korea/players/sooji-han?id=68830,01/02/1989,182,72,285,275,31
122,Dayeong Lee,/en/competition/teams/kor-korea/players/dayeong-lee?id=68839,15/10/1996,180,63,291,271,24
123,Hyun Jung Na,/en/competition/teams/kor-korea/players/hyun-jung-na?id=68846,10/03/1990,163,54,257,250,30
124,Yerim Go,/en/competition/teams/kor-korea/players/yerim-go?id=68829,12/06/1994,177,61,282,272,26
125,Yeongyeon Kim,/en/competition/teams/kor-korea/players/yeongyeon-kim?id=68838,01/12/1993,163,54,267,247,27
126,Micha Hancock,/en/competition/teams/usa-usa/players/micha-hancock?id=67610,10/11/1992,180,75,305,297,28
127,Carli Lloyd,/en/competition/teams/usa-usa/players/carli-lloyd?id=67613,06/08/1989,180,75,313,295,31
128,Rachael Adams,/en/competition/teams/usa-usa/players/rachael-adams?id=67604,03/06/1990,188,79,318,307,30
129,Tetori Dixon,/en/competition/teams/usa-usa/players/tetori-dixon?id=67607,04/08/1992,191,83,306,295,28
130,Lauren Carlini,/en/competition/teams/usa-usa/players/lauren-carlini?id=69040,28/02/1995,185,75,302,295,25
131,Lauren Gibbemeyer,/en/competition/teams/usa-usa/players/lauren-gibbemeyer?id=67609,08/09/1988,187,71,307,293,32
132,Madison Kingdon Rishel,/en/competition/teams/usa-usa/players/madison-kingdon-rishel?id=67615,20/04/1993,183,75,307,298,27
133,Jordan Larson,/en/competition/teams/usa-usa/players/jordan-larson?id=67612,16/10/1986,188,75,302,295,34
134,Andrea Drews,/en/competition/teams/usa-usa/players/andrea-drews?id=67608,25/12/1993,191,77,316,312,27
135,Kelly Murphy,/en/competition/teams/usa-usa/players/kelly-murphy?id=67614,20/10/1989,188,79,315,307,31
136,Sarah Wilhite,/en/competition/teams/usa-usa/players/sarah-wilhite?id=68461,30/07/1995,185,75,305,300,25
137,Michelle Bartsch-Hackley,/en/competition/teams/usa-usa/players/michelle-bartsch-hackley?id=67606,12/02/1990,190,78,305,296,30
138,Kimberly Hill,/en/competition/teams/usa-usa/players/kimberly-hill?id=67611,30/11/1989,193,72,320,310,31
139,Foluke Akinradewo,/en/competition/teams/usa-usa/players/foluke-akinradewo?id=67605,05/10/1987,191,79,331,300,33
140,Megan Courtney,/en/competition/teams/usa-usa/players/megan-courtney?id=68459,27/10/1993,185,61,314,300,27
141,Hannah Tapp,/en/competition/teams/usa-usa/players/hannah-tapp?id=69043,21/06/1995,191,77,297,290,25
142,Amanda Benson,/en/competition/teams/usa-usa/players/amanda-benson?id=69045,09/03/1995,169,63,265,257,25
143,Simone Lee,/en/competition/teams/usa-usa/players/simone-lee?id=69041,07/10/1996,186,70,310,305,24
144,Haleigh Washington,/en/competition/teams/usa-usa/players/haleigh-washington?id=69044,22/09/1995,190,82,307,295,25
145,Kelsey Robinson,/en/competition/teams/usa-usa/players/kelsey-robinson?id=67616,25/06/1992,188,73,307,298,28
146,Karsta Lowe,/en/competition/teams/usa-usa/players/karsta-lowe?id=68460,02/02/1993,194,75,315,305,27
147,Chiaka Ogbogu,/en/competition/teams/usa-usa/players/chiaka-ogbogu?id=69042,15/04/1995,188,73,318,307,25
148,Annerys Victoria Vargas Valdez,/en/competition/teams/dom-dominican%20republic/players/annerys-victoria-vargas-valdez?id=68415,07/08/1981,196,70,327,320,39
149,Lisvel Elisa Eve Mejia,/en/competition/teams/dom-dominican%20republic/players/lisvel-elisa-eve-mejia?id=68399,10/09/1991,194,70,325,315,29
150,Marianne Fersola Norberto,/en/competition/teams/dom-dominican%20republic/players/marianne-fersola-norberto?id=68400,16/01/1992,191,60,315,310,28
