pk,id,name,link,date_of_birth,height,weight,spike,block,age,images,position
123,123,Estelle Adiana,/en/volleyball/worldcup/2019/women/teams/cmr-cameroon/players/estelle-adiana?id=77174,14/05/1997,182,85,285,256,23,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87495&type=Press&width=300&height=450&stretch=uniformtofill,Opposite spiker
124,124,Odette Ahirnidi Menkred,/en/volleyball/worldcup/2019/women/teams/cmr-cameroon/players/odette-ahirnidi-menkred?id=77175,05/11/1999,174,68,270,250,21,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87452&type=Press&width=300&height=450&stretch=uniformtofill,Libero
125,125,Ruth Manuela Marie Bibinbe,/en/volleyball/worldcup/2019/women/teams/cmr-cameroon/players/ruth-manuela-marie-bibinbe?id=77187,23/04/2002,198,90,330,310,18,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87479&type=Press&width=300&height=450&stretch=uniformtofill,Middle blocker
126,126,Soyoung Lee,/en/volleyball/worldcup/2019/women/teams/kor-korea/players/soyoung-lee?id=77427,17/10/1994,176,68,279,269,26,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88048&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
127,127,Hye Seon Yeum,/en/volleyball/worldcup/2019/women/teams/kor-korea/players/hye-seon-yeum?id=77435,03/02/1991,177,65,278,263,29,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88046&type=Press&width=300&height=450&stretch=uniformtofill,Setter
128,128,Heejin Kim,/en/volleyball/worldcup/2019/women/teams/kor-korea/players/heejin-kim?id=77419,29/04/1991,185,75,305,295,29,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88033&type=Press&width=300&height=450&stretch=uniformtofill,Opposite spiker
129,129,Hae Ran Kim,/en/volleyball/worldcup/2019/women/teams/kor-korea/players/hae-ran-kim?id=77418,16/03/1984,168,60,270,250,36,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88026&type=Press&width=300&height=450&stretch=uniformtofill,Libero
130,130,Hyejin Ha,/en/volleyball/worldcup/2019/women/teams/kor-korea/players/hyejin-ha?id=77413,07/09/1996,181,60,285,275,24,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88052&type=Press&width=300&height=450&stretch=uniformtofill,Opposite spiker
131,131,Eunjin Park,/en/volleyball/worldcup/2019/women/teams/kor-korea/players/eunjin-park?id=77431,15/12/1999,187,74,293,283,21,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88054&type=Press&width=300&height=450&stretch=uniformtofill,Middle blocker
132,132,Jiyoung Oh,/en/volleyball/worldcup/2019/women/teams/kor-korea/players/jiyoung-oh?id=77430,11/07/1988,170,63,267,247,32,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88029&type=Press&width=300&height=450&stretch=uniformtofill,Libero
133,133,Yeon Koung Kim,/en/volleyball/worldcup/2019/women/teams/kor-korea/players/yeon-koung-kim?id=77421,26/02/1988,192,73,330,320,32,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88030&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
134,134,Su Ji Kim,/en/volleyball/worldcup/2019/women/teams/kor-korea/players/su-ji-kim?id=77420,11/07/1987,187,68,283,273,33,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88031&type=Press&width=300&height=450&stretch=uniformtofill,Middle blocker
135,135,Jeongah Park,/en/volleyball/worldcup/2019/women/teams/kor-korea/players/jeongah-park?id=77432,26/03/1993,187,75,300,290,27,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88041&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
136,136,Hyo Jin Yang,/en/volleyball/worldcup/2019/women/teams/kor-korea/players/hyo-jin-yang?id=77434,14/12/1989,190,72,340,338,31,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88032&type=Press&width=300&height=450&stretch=uniformtofill,Middle blocker
137,137,Sohwi Kang,/en/volleyball/worldcup/2019/women/teams/kor-korea/players/sohwi-kang?id=77417,18/07/1997,180,65,286,276,23,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88051&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
138,138,Jaeyeong Lee,/en/volleyball/worldcup/2019/women/teams/kor-korea/players/jaeyeong-lee?id=77424,15/10/1996,178,65,289,279,24,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88050&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
139,139,Dayeong Lee,/en/volleyball/worldcup/2019/women/teams/kor-korea/players/dayeong-lee?id=77423,15/10/1996,180,63,291,271,24,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88049&type=Press&width=300&height=450&stretch=uniformtofill,Setter
