pk,id,name,link,date_of_birth,height,weight,spike,block,age,images,position
54,54,Mengjie Wang,/en/volleyball/worldcup/2019/women/teams/chn-china/players/mengjie-wang?id=76979,14/11/1995,172,65,289,280,25,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87264&type=Press&width=300&height=450&stretch=uniformtofill,Libero
55,55,Yanhan Liu,/en/volleyball/worldcup/2019/women/teams/chn-china/players/yanhan-liu?id=76976,19/01/1993,188,75,315,305,27,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87259&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
56,56,Jordyn Poulter,/en/volleyball/worldcup/2019/women/teams/usa-usa/players/jordyn-poulter?id=77034,31/07/1997,188,77,306,295,23,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88781&type=Press&width=300&height=450&stretch=uniformtofill,Setter
57,57,Justine Wong-Orantes,/en/volleyball/worldcup/2019/women/teams/usa-usa/players/justine-wong-orantes?id=77044,06/10/1995,168,66,282,277,25,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88468&type=Press&width=300&height=450&stretch=uniformtofill,Libero
58,58,Tetori Dixon,/en/volleyball/worldcup/2019/women/teams/usa-usa/players/tetori-dixon?id=77026,04/08/1992,191,83,306,295,28,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88485&type=Press&width=300&height=450&stretch=uniformtofill,Middle blocker
59,59,Lauren Carlini,/en/volleyball/worldcup/2019/women/teams/usa-usa/players/lauren-carlini?id=77023,28/02/1995,185,75,302,295,25,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88461&type=Press&width=300&height=450&stretch=uniformtofill,Setter
60,60,Jordan Larson,/en/volleyball/worldcup/2019/women/teams/usa-usa/players/jordan-larson?id=77031,16/10/1986,188,75,302,295,34,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88458&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
61,61,Andrea Drews,/en/volleyball/worldcup/2019/women/teams/usa-usa/players/andrea-drews?id=77027,25/12/1993,191,77,316,312,27,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88488&type=Press&width=300&height=450&stretch=uniformtofill,Opposite spiker
62,62,Michelle Bartsch-Hackley,/en/volleyball/worldcup/2019/women/teams/usa-usa/players/michelle-bartsch-hackley?id=77022,12/02/1990,190,78,305,296,30,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88460&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
63,63,Kimberly Hill,/en/volleyball/worldcup/2019/women/teams/usa-usa/players/kimberly-hill?id=77030,30/11/1989,193,72,320,310,31,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88480&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
64,64,Megan Courtney,/en/volleyball/worldcup/2019/women/teams/usa-usa/players/megan-courtney?id=77024,27/10/1993,185,61,314,300,27,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88489&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
65,65,Hannah Tapp,/en/volleyball/worldcup/2019/women/teams/usa-usa/players/hannah-tapp?id=77040,21/06/1995,191,77,297,290,25,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88490&type=Press&width=300&height=450&stretch=uniformtofill,Middle blocker
66,66,Haleigh Washington,/en/volleyball/worldcup/2019/women/teams/usa-usa/players/haleigh-washington?id=77042,22/09/1995,190,82,307,295,25,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88730&type=Press&width=300&height=450&stretch=uniformtofill,Middle blocker
67,67,Kelsey Robinson,/en/volleyball/worldcup/2019/women/teams/usa-usa/players/kelsey-robinson?id=77037,25/06/1992,188,73,307,298,28,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88481&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
68,68,Chiaka Ogbogu,/en/volleyball/worldcup/2019/women/teams/usa-usa/players/chiaka-ogbogu?id=77033,15/04/1995,188,73,318,307,25,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88838&type=Press&width=300&height=450&stretch=uniformtofill,Middle blocker
69,69,Karsta Lowe,/en/volleyball/worldcup/2019/women/teams/usa-usa/players/karsta-lowe?id=77032,02/02/1993,194,75,315,305,27,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88731&type=Press&width=300&height=450&stretch=uniformtofill,Opposite spiker
70,70,Kirsten Knip,/en/volleyball/worldcup/2019/women/teams/ned-netherlands/players/kirsten-knip?id=76901,14/09/1992,175,70,281,275,28,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87124&type=Press&width=300&height=450&stretch=uniformtofill,Libero
71,71,Yvon Belien,/en/volleyball/worldcup/2019/women/teams/ned-netherlands/players/yvon-belien?id=76893,28/12/1993,188,73,307,303,27,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87127&type=Press&width=300&height=450&stretch=uniformtofill,Middle blocker
72,72,Celeste Plak,/en/volleyball/worldcup/2019/women/teams/ned-netherlands/players/celeste-plak?id=76907,26/10/1995,190,87,314,302,25,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87128&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
73,73,Maret Balkestein-Grothues,/en/volleyball/worldcup/2019/women/teams/ned-netherlands/players/maret-balkestein-grothues?id=76892,16/09/1988,180,68,304,285,32,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87119&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
74,74,Juliet Lohuis,/en/volleyball/worldcup/2019/women/teams/ned-netherlands/players/juliet-lohuis?id=76904,10/09/1996,190,77,305,295,24,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87134&type=Press&width=300&height=450&stretch=uniformtofill,Middle blocker
75,75,Myrthe Schoot,/en/volleyball/worldcup/2019/women/teams/ned-netherlands/players/myrthe-schoot?id=76910,29/08/1988,182,70,298,286,32,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87122&type=Press&width=300&height=450&stretch=uniformtofill,Libero
76,76,Lonneke Slöetjes,/en/volleyball/worldcup/2019/women/teams/ned-netherlands/players/lonneke-sl%c3%b6etjes?id=76912,15/11/1990,191,76,322,315,30,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87118&type=Press&width=300&height=450&stretch=uniformtofill,Opposite spiker
77,77,Anne Buijs,/en/volleyball/worldcup/2019/women/teams/ned-netherlands/players/anne-buijs?id=76895,02/12/1991,191,73,317,299,29,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87120&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
78,78,Britt Bongaerts,/en/volleyball/worldcup/2019/women/teams/ned-netherlands/players/britt-bongaerts?id=76894,03/11/1996,185,68,296,284,24,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87129&type=Press&width=300&height=450&stretch=uniformtofill,Setter
79,79,Laura Dijkema,/en/volleyball/worldcup/2019/women/teams/ned-netherlands/players/laura-dijkema?id=76898,18/02/1990,184,70,293,279,30,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87123&type=Press&width=300&height=450&stretch=uniformtofill,Setter
80,80,Nicole Oude Luttikhuis,/en/volleyball/worldcup/2019/women/teams/ned-netherlands/players/nicole-oude-luttikhuis?id=76906,26/12/1997,191,82,312,305,23,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87131&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
81,81,Marrit Jasper,/en/volleyball/worldcup/2019/women/teams/ned-netherlands/players/marrit-jasper?id=76900,28/02/1996,180,75,300,285,24,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87135&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
82,82,Nicole Koolhaas,/en/volleyball/worldcup/2019/women/teams/ned-netherlands/players/nicole-koolhaas?id=76902,31/01/1991,198,77,310,300,29,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87125&type=Press&width=300&height=450&stretch=uniformtofill,Middle blocker
83,83,Eline Timmerman,/en/volleyball/worldcup/2019/women/teams/ned-netherlands/players/eline-timmerman?id=76914,30/12/1998,192,78,303,295,22,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87142&type=Press&width=300&height=450&stretch=uniformtofill,Middle blocker
84,84,Elina Rodriguez,/en/volleyball/worldcup/2019/women/teams/arg-argentina/players/elina-rodriguez?id=76938,11/02/1997,189,72,300,284,23,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87550&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
85,85,Paula Yamila Nizetich,/en/volleyball/worldcup/2019/women/teams/arg-argentina/players/paula-yamila-nizetich?id=76935,27/01/1989,181,74,305,295,31,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87563&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
86,86,Daniela Bulaich Simian,/en/volleyball/worldcup/2019/women/teams/arg-argentina/players/daniela-bulaich-simian?id=76921,05/09/1997,172,53,274,263,23,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87565&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
87,87,Lucia Fresco,/en/volleyball/worldcup/2019/women/teams/arg-argentina/players/lucia-fresco?id=76926,14/05/1991,195,92,304,290,29,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87566&type=Press&width=300&height=450&stretch=uniformtofill,Opposite spiker
88,88,Agnes Victoria Michel Tosi,/en/volleyball/worldcup/2019/women/teams/arg-argentina/players/agnes-victoria-michel-tosi?id=76934,01/07/1999,182,69,283,273,21,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87568&type=Press&width=300&height=450&stretch=uniformtofill,Middle blocker
89,89,Julieta Constanza Lazcano,/en/volleyball/worldcup/2019/women/teams/arg-argentina/players/julieta-constanza-lazcano?id=76929,25/07/1989,190,76,312,293,31,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87569&type=Press&width=300&height=450&stretch=uniformtofill,Middle blocker
90,90,Tatiana Soledad Rizzo,/en/volleyball/worldcup/2019/women/teams/arg-argentina/players/tatiana-soledad-rizzo?id=76937,30/12/1986,178,64,280,268,34,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87570&type=Press&width=300&height=450&stretch=uniformtofill,Libero
91,91,Bianca Farriol,/en/volleyball/worldcup/2019/women/teams/arg-argentina/players/bianca-farriol?id=76924,18/12/2001,180,68,290,270,19,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87586&type=Press&width=300&height=450&stretch=uniformtofill,Middle blocker
92,92,Victoria Mayer,/en/volleyball/worldcup/2019/women/teams/arg-argentina/players/victoria-mayer?id=76932,19/06/2001,180,59,285,265,19,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87571&type=Press&width=300&height=450&stretch=uniformtofill,Setter
93,93,Valentina Andrea Gonzalez,/en/volleyball/worldcup/2019/women/teams/arg-argentina/players/valentina-andrea-gonzalez?id=76928,23/02/1998,163,56,271,260,22,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87585&type=Press&width=300&height=450&stretch=uniformtofill,Libero
94,94,Agostina Denisse Soria,/en/volleyball/worldcup/2019/women/teams/arg-argentina/players/agostina-denisse-soria?id=77115,09/10/1998,179,65,279,271,22,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87576&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
95,95,Candela Sol Salinas,/en/volleyball/worldcup/2019/women/teams/arg-argentina/players/candela-sol-salinas?id=76939,23/05/2000,183,64,278,265,20,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87577&type=Press&width=300&height=450&stretch=uniformtofill,Opposite spiker
96,96,Sol Piccolo,/en/volleyball/worldcup/2019/women/teams/arg-argentina/players/sol-piccolo?id=76936,11/09/1996,184,74,294,282,24,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87578&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
97,97,Azul Benitez,/en/volleyball/worldcup/2019/women/teams/arg-argentina/players/azul-benitez?id=77172,05/02/1998,165,60,260,245,22,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87581&type=Press&width=300&height=450&stretch=uniformtofill,Setter
98,98,Jane Wacu Wairimu,/en/volleyball/worldcup/2019/women/teams/ken-kenya/players/jane-wacu-wairimu?id=77165,24/03/1985,175,60,299,286,35,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87861&type=Press&width=300&height=450&stretch=uniformtofill,Setter
99,99,Violet Makuto,/en/volleyball/worldcup/2019/women/teams/ken-kenya/players/violet-makuto?id=77157,20/05/1993,167,65,298,290,27,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87863&type=Press&width=300&height=450&stretch=uniformtofill,Opposite spiker
100,100,Leonida Kasaya,/en/volleyball/worldcup/2019/women/teams/ken-kenya/players/leonida-kasaya?id=77150,10/10/1993,168,67,297,292,27,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87867&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
101,101,Sharon Chepchumba Kiprono,/en/volleyball/worldcup/2019/women/teams/ken-kenya/players/sharon-chepchumba-kiprono?id=77153,26/10/1998,183,82,293,281,22,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87882&type=Press&width=300&height=450&stretch=uniformtofill,Opposite spiker
