id,name,date_of_birth,height,weight,spike,block,link
1,Josefina Fernandez,17/08/1991,180,69,300,296,Players.asp?Tourn=WGP2012&Team=ARG&No=122488
2,Paula Yamila Nizetich,27/01/1989,181,74,305,295,Players.asp?Tourn=WGP2012&Team=ARG&No=122486
3,Clarisa Sagardia,29/06/1989,174,67,290,280,Players.asp?Tourn=WGP2012&Team=ARG&No=135504
4,Lucia Fresco,14/05/1991,195,92,304,290,Players.asp?Tourn=WGP2012&Team=ARG&No=124661
5,Luisina Yaccuzzi,12/06/1989,175,70,300,290,Players.asp?Tourn=WGP2012&Team=ARG&No=138786
6,Julieta Puntin,06/12/1989,183,71,302,287,Players.asp?Tourn=WGP2012&Team=ARG&No=138787
7,Tatiana Soledad Rizzo,30/12/1986,178,64,280,268,Players.asp?Tourn=WGP2012&Team=ARG&No=122484
8,Camila Jersonsky,30/05/1991,181,68,305,289,Players.asp?Tourn=WGP2012&Team=ARG&No=123035
9,Emilce Sosa,11/09/1987,177,72,305,295,Players.asp?Tourn=WGP2012&Team=ARG&No=124660
10,Georgina Pinedo,30/05/1981,180,64,312,290,Players.asp?Tourn=WGP2012&Team=ARG&No=113395
11,Graciela Allende,07/10/1994,167,75,270,260,Players.asp?Tourn=WGP2012&Team=ARG&No=135930
12,Leticia Boscacci,08/11/1985,186,70,302,284,Players.asp?Tourn=WGP2012&Team=ARG&No=117250
13,Florencia Carlotto,14/10/1988,183,72,302,291,Players.asp?Tourn=WGP2012&Team=ARG&No=123034
14,Maria Sol Calvete,14/09/1994,179,65,295,283,Players.asp?Tourn=WGP2012&Team=ARG&No=135924
15,Florencia Natasha Busquets Reyes,27/06/1989,192,68,305,290,Players.asp?Tourn=WGP2012&Team=ARG&No=122490
16,Antonela Ayelen Curatola,23/10/1991,175,71,290,280,Players.asp?Tourn=WGP2012&Team=ARG&No=135505
17,Yael Castiglione,27/09/1985,184,75,295,281,Players.asp?Tourn=WGP2012&Team=ARG&No=112619
18,Mariangeles Cossar,07/04/1990,177,70,290,280,Players.asp?Tourn=WGP2012&Team=ARG&No=138016
19,Marianela Garbari,13/11/1980,165,65,280,270,Players.asp?Tourn=WGP2012&Team=ARG&No=135779
20,Yang Mi,24/01/1989,180,70,305,298,Players.asp?Tourn=WGP2012&Team=CHN&No=119296
21,Jie Yang,01/03/1994,194,82,312,300,Players.asp?Tourn=WGP2012&Team=CHN&No=119302
