index,name,date_of_birth,height,weight,spike,block,link
110,Gaia Guiducci,09/03/2002,175,70,0,0,/en/volleyball/worldchampionships/u18/women/2019/teams/ita-italy/players/gaia-guiducci?id=74859
111,Emma Graziani,16/08/2002,190,77,314,300,/en/volleyball/worldchampionships/u18/women/2019/teams/ita-italy/players/emma-graziani?id=74868
112,Martina Armini,19/09/2002,175,69,298,288,/en/volleyball/worldchampionships/u18/women/2019/teams/ita-italy/players/martina-armini?id=74874
113,Alessia Bolzonetti,15/02/2002,188,82,310,298,/en/volleyball/worldchampionships/u18/women/2019/teams/ita-italy/players/alessia-bolzonetti?id=74862
114,Linda Nkiruka Nwakalor,17/09/2002,187,70,0,0,/en/volleyball/worldchampionships/u18/women/2019/teams/ita-italy/players/linda-nkiruka-nwakalor?id=74863
115,Beatrice Gardini,01/04/2003,185,73,306,299,/en/volleyball/worldchampionships/u18/women/2019/teams/ita-italy/players/beatrice-gardini?id=74867
116,Sofia Monza,11/05/2002,174,60,304,299,/en/volleyball/worldchampionships/u18/women/2019/teams/ita-italy/players/sofia-monza?id=74871
117,Ajack John Majak Malual,03/06/2002,181,68,310,298,/en/volleyball/worldchampionships/u18/women/2019/teams/ita-italy/players/ajack-john-majak-malual?id=74869
118,Oghosasere Loveth Omoruyi,25/08/2002,184,75,0,0,/en/volleyball/worldchampionships/u18/women/2019/teams/ita-italy/players/oghosasere-loveth-omoruyi?id=74861
119,Stella Nervini,10/09/2003,184,68,302,294,/en/volleyball/worldchampionships/u18/women/2019/teams/ita-italy/players/stella-nervini?id=74887
120,Giorgia Frosini,29/11/2002,188,75,0,0,/en/volleyball/worldchampionships/u18/women/2019/teams/ita-italy/players/giorgia-frosini?id=74858
121,Yoshino Sato,30/06/2002,183,73,291,277,/en/volleyball/worldchampionships/u18/women/2019/teams/jpn-japan/players/yoshino-sato?id=76103
122,Yoshino Nishikawa,10/09/2002,178,62,289,279,/en/volleyball/worldchampionships/u18/women/2019/teams/jpn-japan/players/yoshino-nishikawa?id=76102
123,Mika Yoshitake,20/04/2003,180,69,295,282,/en/volleyball/worldchampionships/u18/women/2019/teams/jpn-japan/players/mika-yoshitake?id=76106
124,Natsumi Kondo,12/06/2002,171,65,285,267,/en/volleyball/worldchampionships/u18/women/2019/teams/jpn-japan/players/natsumi-kondo?id=76098
125,Ai Hirota,23/08/2003,173,66,300,285,/en/volleyball/worldchampionships/u18/women/2019/teams/jpn-japan/players/ai-hirota?id=76104
126,Manami Koyama,29/07/2002,176,67,288,277,/en/volleyball/worldchampionships/u18/women/2019/teams/jpn-japan/players/manami-koyama?id=76094
127,Yukiko Wada,08/01/2002,175,55,293,277,/en/volleyball/worldchampionships/u18/women/2019/teams/jpn-japan/players/yukiko-wada?id=76108
128,Yoshie Kawakami,23/09/2002,174,63,286,278,/en/volleyball/worldchampionships/u18/women/2019/teams/jpn-japan/players/yoshie-kawakami?id=76097
129,Haruka Kaji,24/03/2003,172,61,284,276,/en/volleyball/worldchampionships/u18/women/2019/teams/jpn-japan/players/haruka-kaji?id=76095
130,Madoka Kashimura,06/11/2002,183,71,305,299,/en/volleyball/worldchampionships/u18/women/2019/teams/jpn-japan/players/madoka-kashimura?id=76096
131,Rino Murooka,16/06/2002,161,55,295,286,/en/volleyball/worldchampionships/u18/women/2019/teams/jpn-japan/players/rino-murooka?id=76101
132,Mana Nishizaki,01/05/2002,158,57,254,251,/en/volleyball/worldchampionships/u18/women/2019/teams/jpn-japan/players/mana-nishizaki?id=76100
133,Jeonga Kim,08/02/2002,173,60,270,260,/en/volleyball/worldchampionships/u18/women/2019/teams/kor-korea/players/jeonga-kim?id=76579
134,Haejin Park,15/04/2002,177,62,270,260,/en/volleyball/worldchampionships/u18/women/2019/teams/kor-korea/players/haejin-park?id=76574
135,Youkyeong Seo,02/05/2002,166,58,260,255,/en/volleyball/worldchampionships/u18/women/2019/teams/kor-korea/players/youkyeong-seo?id=76578
136,Seonwoo Lee,12/07/2002,183,68,275,265,/en/volleyball/worldchampionships/u18/women/2019/teams/kor-korea/players/seonwoo-lee?id=76571
137,Hyojin Chong,20/09/2002,174,63,260,250,/en/volleyball/worldchampionships/u18/women/2019/teams/kor-korea/players/hyojin-chong?id=76562
138,Subin Kim,14/09/2002,165,57,253,243,/en/volleyball/worldchampionships/u18/women/2019/teams/kor-korea/players/subin-kim?id=76568
139,Jeongmin Choi,21/12/2002,180,62,270,260,/en/volleyball/worldchampionships/u18/women/2019/teams/kor-korea/players/jeongmin-choi?id=76561
140,Suyeon Park,17/04/2003,176,62,265,255,/en/volleyball/worldchampionships/u18/women/2019/teams/kor-korea/players/suyeon-park?id=76576
141,Eunseo Park,16/04/2003,176,68,263,253,/en/volleyball/worldchampionships/u18/women/2019/teams/kor-korea/players/eunseo-park?id=76573
142,Sarang Park,26/08/2003,177,66,265,255,/en/volleyball/worldchampionships/u18/women/2019/teams/kor-korea/players/sarang-park?id=76575
143,Mireu Han,13/07/2002,165,57,255,245,/en/volleyball/worldchampionships/u18/women/2019/teams/kor-korea/players/mireu-han?id=76563
144,Hyunji Lee,16/08/2003,178,73,267,257,/en/volleyball/worldchampionships/u18/women/2019/teams/kor-korea/players/hyunji-lee?id=76570
145,Aime Margarita Topete Pardo,16/10/2005,178,80,270,260,/en/volleyball/worldchampionships/u18/women/2019/teams/mex-mexico/players/aime-margarita-topete-pardo?id=76470
146,Sofia Maldonado Diaz,06/02/2002,178,58,275,260,/en/volleyball/worldchampionships/u18/women/2019/teams/mex-mexico/players/sofia-maldonado-diaz?id=76465
147,Gabriela FÃ©lix Baeza,15/06/2002,156,55,240,230,/en/volleyball/worldchampionships/u18/women/2019/teams/mex-mexico/players/gabriela-f%c3%a9lix-baeza?id=76461
148,Grecia MarÃ­a Ung Enriquez,08/04/2003,171,55,260,255,/en/volleyball/worldchampionships/u18/women/2019/teams/mex-mexico/players/grecia-mar%c3%ada-ung-enriquez?id=76472
149,Gloria Argentina Ung Enriquez,25/04/2002,181,59,290,270,/en/volleyball/worldchampionships/u18/women/2019/teams/mex-mexico/players/gloria-argentina-ung-enriquez?id=76471
150,Marian Aylin Ovalle Leyva,14/09/2002,178,66,278,260,/en/volleyball/worldchampionships/u18/women/2019/teams/mex-mexico/players/marian-aylin-ovalle-leyva?id=76467
151,MarÃ­a JosÃ© GonzÃ¡lez De La Cerda,15/09/2002,179,76,270,268,/en/volleyball/worldchampionships/u18/women/2019/teams/mex-mexico/players/mar%c3%ada-jos%c3%a9-gonz%c3%a1lez-de-la-cerda?id=76462
152,Izabella Ceratti Cervantes,28/01/2003,176,68,280,265,/en/volleyball/worldchampionships/u18/women/2019/teams/mex-mexico/players/izabella-ceratti-cervantes?id=76458
153,Stephanie Mercado Salinas,06/05/2003,159,55,230,230,/en/volleyball/worldchampionships/u18/women/2019/teams/mex-mexico/players/stephanie-mercado-salinas?id=76466
