competition_name,competition_year,team,name,date_of_birth,curr_age,height,weight,spike,block,player_page,player_image,nationality,position,short_position
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246286,Nadira Ait Oumghar,1994-01-09,27,185,77,281,263,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=135594&Team=ALG&Tourn=WU202013,,ALG,Opposite spiker,OPP
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246286,Yasmine Abderrahim,1999-01-16,22,182,62,290,283,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=136728&Team=ALG&Tourn=WU202013,,ALG,Wing spiker,OH
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246286,Sara Belhocine,1994-01-18,27,178,60,272,260,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=146590&Team=ALG&Tourn=WU202013,,ALG,-,
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246286,Louiza Bayou,1994-01-25,27,172,60,285,279,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=135596&Team=ALG&Tourn=WU202013,,ALG,Middle blocker,MB
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246286,Titem Hani,1996-01-13,25,161,52,258,245,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142090&Team=ALG&Tourn=WU202013,,ALG,Libero,L
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246286,Sarah Akroun,1994-01-05,27,176,60,266,253,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=133832&Team=ALG&Tourn=WU202013,,ALG,Setter,S
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246286,Chanez Ayadi,1994-01-08,27,173,59,271,254,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=133833&Team=ALG&Tourn=WU202013,,ALG,Setter,S
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246286,Wissem Samia Dali,1995-01-01,26,174,58,266,260,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=135666&Team=ALG&Tourn=WU202013,,ALG,Libero,L
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246286,Nawel Hammouche,1997-01-25,24,185,66,279,265,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=135763&Team=ALG&Tourn=WU202013,,ALG,Middle blocker,MB
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246286,Dallal Merwa Achour,1994-01-03,27,176,60,275,262,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=135595&Team=ALG&Tourn=WU202013,,ALG,Middle blocker,MB
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246286,Zaidi Amel,1995-01-03,26,175,58,278,260,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142357&Team=ALG&Tourn=WU202013,,ALG,Middle blocker,MB
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246286,Celia Bourihane,1995-01-22,26,178,56,277,255,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=133834&Team=ALG&Tourn=WU202013,,ALG,-,
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201236553,Naiane De Almeida Rios,1994-01-29,27,179,63,276,281,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=136890&Team=BRA&Tourn=WU202013,,BRA,Setter,S
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201236553,Maira Cipriano Claro,1995-01-07,26,187,62,300,278,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=140414&Team=BRA&Tourn=WU202013,,BRA,Wing spiker,OH
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201236553,Saraelen Leandro Ferreira Lima,1994-01-16,27,184,76,302,282,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=140415&Team=BRA&Tourn=WU202013,,BRA,Middle blocker,MB
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201236553,Gabriela Braga Guimaraes,1994-01-19,27,180,65,305,289,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=136896&Team=BRA&Tourn=WU202013,,BRA,Wing spiker,OH
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201236553,Rosamaria Montibeller,1994-01-09,27,185,76,291,285,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=136897&Team=BRA&Tourn=WU202013,,BRA,Wing spiker,OH
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201236553,Giovana Gasparini,1994-01-05,27,172,74,281,264,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=140417&Team=BRA&Tourn=WU202013,,BRA,Setter,S
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201236553,Valquiria Carboni Dullius,1994-01-19,27,188,72,288,281,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=136899&Team=BRA&Tourn=WU202013,,BRA,Middle blocker,MB
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201236553,Paula Camila Mohr,1994-01-23,27,187,69,294,280,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=136900&Team=BRA&Tourn=WU202013,,BRA,Wing spiker,OH
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201236553,Milka Marcã­Lia Medeiros Silva,1994-01-18,27,190,75,307,291,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=140418&Team=BRA&Tourn=WU202013,,BRA,Middle blocker,MB
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201236553,Domingas Soares Araãºjo,1994-01-09,27,182,82,311,290,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=140419&Team=BRA&Tourn=WU202013,,BRA,Opposite spiker,OPP
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201236553,Sara Aparecida Dias Da Silva,1994-01-29,27,185,75,29,301,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=136909&Team=BRA&Tourn=WU202013,,BRA,Opposite spiker,OPP
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201236553,Daniela Guimarã£Es,1994-01-29,27,168,63,274,265,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=140420&Team=BRA&Tourn=WU202013,,BRA,Libero,L
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246432,Gergana Dimitrova,1996-01-28,25,184,71,305,288,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142341&Team=BUL&Tourn=WU202013,,BUL,Wing spiker,OH
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246432,Milena Dimova,1994-01-05,27,189,61,306,295,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142335&Team=BUL&Tourn=WU202013,,BUL,Middle blocker,MB
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246432,Ralina Doshkova,1995-01-07,26,188,64,303,295,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142342&Team=BUL&Tourn=WU202013,,BUL,Opposite spiker,OPP
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246432,Kristiana Petlichka,1994-01-06,27,183,67,290,278,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142343&Team=BUL&Tourn=WU202013,,BUL,-,
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246432,Simona Dimitrova,1994-01-17,27,185,82,290,280,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142345&Team=BUL&Tourn=WU202013,,BUL,Wing spiker,OH
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246432,Miroslava Paskova,1996-01-16,25,180,67,299,280,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142347&Team=BUL&Tourn=WU202013,,BUL,Wing spiker,OH
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246432,Petya Barakova,1994-01-18,27,180,76,283,271,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142348&Team=BUL&Tourn=WU202013,,BUL,Setter,S
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246432,Kristina Guncheva,1994-01-24,27,178,61,282,271,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142373&Team=BUL&Tourn=WU202013,,BUL,Setter,S
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246432,Proletka Ivanova,1995-01-04,26,182,76,298,285,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142331&Team=BUL&Tourn=WU202013,,BUL,-,
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246432,Mira Todorova,1994-01-12,27,187,73,312,300,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142337&Team=BUL&Tourn=WU202013,,BUL,Middle blocker,MB
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246432,Silvana Chausheva,1995-01-19,26,188,75,305,290,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142333&Team=BUL&Tourn=WU202013,,BUL,Wing spiker,OH
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246432,Zhana Todorova,1997-01-06,24,170,56,271,255,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142351&Team=BUL&Tourn=WU202013,,BUL,Libero,L
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201247599,Ning Wang,1994-01-14,27,189,60,312,303,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=133592&Team=CHN&Tourn=WU202013,,CHN,Middle blocker,MB
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201247599,Weiwei Li,1994-01-17,27,190,74,312,310,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=124131&Team=CHN&Tourn=WU202013,,CHN,Middle blocker,MB
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201247599,Yixin Zheng,1995-01-06,26,187,71,316,307,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=135742&Team=CHN&Tourn=WU202013,,CHN,Middle blocker,MB
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201247599,Fengjiao Wang,1994-01-25,27,176,66,307,302,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=135743&Team=CHN&Tourn=WU202013,,CHN,Wing spiker,OH
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201247599,Siyu Qin,1994-01-02,27,184,65,305,300,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142133&Team=CHN&Tourn=WU202013,,CHN,Opposite spiker,OPP
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201247599,Fangxu Yang,1994-01-06,27,190,82,308,300,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=123850&Team=CHN&Tourn=WU202013,,CHN,Opposite spiker,OPP
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201247599,Meili Song,1995-01-23,26,186,75,310,300,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142132&Team=CHN&Tourn=WU202013,,CHN,Wing spiker,OH
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201247599,Ting Zhu,1994-01-29,27,198,78,327,300,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=133588&Team=CHN&Tourn=WU202013,,CHN,Wing spiker,OH
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201247599,Bei Wu,1994-01-21,27,182,63,300,295,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=133586&Team=CHN&Tourn=WU202013,,CHN,Setter,S
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201247599,Xintong Chen,1994-01-08,27,178,69,297,290,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142135&Team=CHN&Tourn=WU202013,,CHN,Setter,S
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201247599,Mengjie Wang,1995-01-14,26,172,65,289,280,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=135745&Team=CHN&Tourn=WU202013,,CHN,Libero,L
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201247599,Liuyan Huang,1994-01-13,27,178,66,297,290,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=123835&Team=CHN&Tourn=WU202013,,CHN,Wing spiker,OH
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246287,Valeria Lopez,1995-01-15,26,175,66,276,267,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=138901&Team=COL&Tourn=WU202013,,COL,-,
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246287,Maria Margarita Martinez,1995-01-19,26,180,77,305,300,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142892&Team=COL&Tourn=WU202013,,COL,Wing spiker,OH
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246287,Silvia Galeano,1994-01-09,27,178,65,300,295,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=141514&Team=COL&Tourn=WU202013,,COL,-,
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246287,Eileen Acuã±A,1994-01-04,27,178,65,284,274,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=141515&Team=COL&Tourn=WU202013,,COL,-,
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246287,Andrea Estrada,1995-01-22,26,175,64,299,281,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=139621&Team=COL&Tourn=WU202013,,COL,-,
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246287,Diana Arrechea,1994-01-14,27,176,67,293,278,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=138905&Team=COL&Tourn=WU202013,,COL,-,
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246287,Danna Paola Escobar Lucumi,1994-01-25,27,193,105,295,283,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=134952&Team=COL&Tourn=WU202013,,COL,Opposite spiker,OPP
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246287,Ivonne Montaã±O,1995-01-12,26,187,72,302,291,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=138907&Team=COL&Tourn=WU202013,,COL,Opposite spiker,OPP
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246287,Camila Gomez,1995-01-06,26,160,61,263,260,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=138909&Team=COL&Tourn=WU202013,,COL,Libero,L
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246287,Maria Alejandra Marin,1995-01-04,26,180,65,295,283,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=138911&Team=COL&Tourn=WU202013,,COL,Setter,S
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246287,Melissa Rangel,1994-01-16,27,193,75,305,300,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=138910&Team=COL&Tourn=WU202013,,COL,Middle blocker,MB
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246287,Angie Katherine Vente Hinestroza,1995-01-28,26,185,79,310,300,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=141518&Team=COL&Tourn=WU202013,,COL,Middle blocker,MB
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201235743,Klara Uhlirova,1996-01-12,25,173,60,286,278,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142303&Team=CZE&Tourn=WU202013,,CZE,Libero,L
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201235743,Anna Pospisilova,1995-01-22,26,0,0,290,280,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=168656&Team=CZE&Tourn=WU202013,,CZE,-,
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201235743,Klara Melicharova,1994-01-24,27,185,80,300,290,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=137473&Team=CZE&Tourn=WU202013,,CZE,Wing spiker,OH
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201235743,Lucie Herbockova,1994-01-02,27,183,67,299,290,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142292&Team=CZE&Tourn=WU202013,,CZE,Middle blocker,MB
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201235743,Marie Kurkova,1996-01-20,25,181,75,290,284,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142296&Team=CZE&Tourn=WU202013,,CZE,Setter,S
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201235743,Veronika Trnkova,1995-01-13,26,188,88,314,300,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142302&Team=CZE&Tourn=WU202013,,CZE,Middle blocker,MB
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201235743,Lucie Kalhousova,1996-01-14,25,185,80,300,292,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142294&Team=CZE&Tourn=WU202013,,CZE,Wing spiker,OH
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201235743,Barbora Najbrtova,1995-01-13,26,187,82,300,290,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142298&Team=CZE&Tourn=WU202013,,CZE,Opposite spiker,OPP
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201235743,Katerina Zemanova,1994-01-01,27,187,85,297,288,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142306&Team=CZE&Tourn=WU202013,,CZE,Middle blocker,MB
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201235743,Sarka Bouskova,1995-01-04,26,179,80,294,285,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142289&Team=CZE&Tourn=WU202013,,CZE,Opposite spiker,OPP
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201235743,Michaela Mlejnkova,1996-01-26,25,185,75,305,298,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142297&Team=CZE&Tourn=WU202013,,CZE,Wing spiker,OH
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201235743,Anna Prokupkova,1994-01-07,27,172,63,278,269,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142301&Team=CZE&Tourn=WU202013,,CZE,Wing spiker,OH
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201247425,Jineiry Martinez,1997-01-03,24,192,68,305,280,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=139910&Team=DOM&Tourn=WU202013,,DOM,Middle blocker,MB
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201247425,Winifer Maria Fernandez Perez,1995-01-06,26,169,62,270,265,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=131956&Team=DOM&Tourn=WU202013,,DOM,Libero,L
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201247425,Gaila Ceneida Gonzalez Lopez,1997-01-25,24,190,73,304,276,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=139927&Team=DOM&Tourn=WU202013,,DOM,Opposite spiker,OPP
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201247425,Maria Yvett Garcia De La Cruz,1996-01-04,25,184,71,296,265,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=143960&Team=DOM&Tourn=WU202013,,DOM,Wing spiker,OH
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201247425,Natalia Martinez,2000-01-25,21,186,71,310,300,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=139923&Team=DOM&Tourn=WU202013,,DOM,Wing spiker,OH
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201247425,Angelica Maria Hinojosa Diaz,1997-01-10,24,186,72,305,279,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=143961&Team=DOM&Tourn=WU202013,,DOM,Middle blocker,MB
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201247425,Pamela Marie Soriano Olivo,1995-01-30,26,175,64,290,287,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=131958&Team=DOM&Tourn=WU202013,,DOM,Wing spiker,OH
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201247425,Genesis Semfle Milisde,1996-01-07,25,184,60,290,271,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=139924&Team=DOM&Tourn=WU202013,,DOM,Middle blocker,MB
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201247425,Yokaty Perez Flores,1998-01-06,23,178,79,291,257,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=139912&Team=DOM&Tourn=WU202013,,DOM,Setter,S
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201247425,Celenia Toribio De Leon,1994-01-17,27,181,69,290,286,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=131957&Team=DOM&Tourn=WU202013,,DOM,Setter,S
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201247425,Larysmer Martinez Caro,1996-01-18,25,174,68,288,258,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=139913&Team=DOM&Tourn=WU202013,,DOM,Libero,L
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201247425,Brayelin Elizabeth Martinez,1996-01-11,25,201,83,330,320,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=123982&Team=DOM&Tourn=WU202013,,DOM,Wing spiker,OH
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246311,Perihan Eldeeb,1995-01-28,26,161,63,254,245,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=136138&Team=EGY&Tourn=WU202013,,EGY,-,
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246311,Lujien Sallam,1994-01-21,27,174,65,270,268,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=123936&Team=EGY&Tourn=WU202013,,EGY,Setter,S
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246311,Heidi Kandiel,1997-01-01,24,187,68,285,273,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=136635&Team=EGY&Tourn=WU202013,,EGY,Middle blocker,MB
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246311,Kenzie Assem,1994-01-30,27,177,73,276,265,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=136003&Team=EGY&Tourn=WU202013,,EGY,-,
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246311,Sondos Ramadan,1994-01-04,27,176,76,271,260,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142397&Team=EGY&Tourn=WU202013,,EGY,-,
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246311,Aya Ahmed,1996-01-27,25,184,69,280,268,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=136637&Team=EGY&Tourn=WU202013,,EGY,Middle blocker,MB
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246311,Rana Elgohary,1994-01-22,27,180,75,284,272,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=136002&Team=EGY&Tourn=WU202013,,EGY,-,
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246311,Farida El Askalany,1995-01-14,26,184,71,295,280,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=123663&Team=EGY&Tourn=WU202013,,EGY,Middle blocker,MB
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246311,Aya Elshamy,1995-01-27,26,186,77,297,279,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=136005&Team=EGY&Tourn=WU202013,,EGY,Opposite spiker,OPP
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246311,Mai Moustafa,1996-01-01,25,175,63,280,269,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=136137&Team=EGY&Tourn=WU202013,,EGY,Wing spiker,OH
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246311,Sarah Hanafy,1997-01-15,24,179,80,275,263,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=136640&Team=EGY&Tourn=WU202013,,EGY,Wing spiker,OH
