competition_name,competition_year,team,name,date_of_birth,curr_age,height,weight,spike,block,player_page,player_image,nationality,position,short_position
World Cup,2019,http:///,Camil Inmaculada Dominguez Martinez,1991-01-07,30,176,75,285,270,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/dom-dominican%20republic/players/camil_inmaculada_dominguez_martinez?id=77065,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87201&Type=Press&height=450&stretch=uniformtofill&width=300,DOM,Setter,S
World Cup,2019,http:///,Niverka Dharlenis Marte Frica,1990-01-19,31,178,71,295,283,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/dom-dominican%20republic/players/niverka_dharlenis_marte_frica?id=77071,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87202&Type=Press&height=450&stretch=uniformtofill&width=300,DOM,Setter,S
World Cup,2019,http:///,Candida Estefany Arias Perez,1992-01-11,29,194,68,320,315,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/dom-dominican%20republic/players/candida_estefany_arias_perez?id=77061,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87198&Type=Press&height=450&stretch=uniformtofill&width=300,DOM,Middle blocker,MB
World Cup,2019,http:///,Prisilla Rivera Brensc,1984-01-29,37,183,67,309,305,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/dom-dominican%20republic/players/prisilla_rivera_brens?id=77080,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87192&Type=Press&height=450&stretch=uniformtofill&width=300,San Pedro,Wing spiker,OH
World Cup,2019,http:///,Yonkaira Paola Peña Isabel,1993-01-10,28,190,70,320,310,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/dom-dominican%20republic/players/yonkaira_paola_pe%C3%B1a_isabel?id=77077,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87204&Type=Press&height=450&stretch=uniformtofill&width=300,DOM,Wing spiker,OH
World Cup,2019,http:///,Gina Altagracia Mambru Casilla,1986-01-21,35,182,65,330,315,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/dom-dominican%20republic/players/gina_altagracia_mambru_casilla?id=77070,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87196&Type=Press&height=450&stretch=uniformtofill&width=300,DOM,Opposite spiker,OPP
World Cup,2019,http:///,Bethania De La Cruz De Peña,1987-01-13,34,188,70,330,320,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/dom-dominican%20republic/players/bethania_de_la_cruz_de_pe%C3%B1a?id=77064,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87194&Type=Press&height=450&stretch=uniformtofill&width=300,Deportivo Nacional,Wing spiker,OH
World Cup,2019,http:///,Brayelin Elizabeth Martinez,1996-01-11,25,201,83,330,320,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/dom-dominican%20republic/players/brayelin_elizabeth_martinez?id=77072,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87205&Type=Press&height=450&stretch=uniformtofill&width=300,DOM,Wing spiker,OH
World Cup,2019,http:///,Jineiry Martinez,1997-01-03,24,190,68,305,280,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/dom-dominican%20republic/players/jineiry_martinez?id=77073,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87207&Type=Press&height=450&stretch=uniformtofill&width=300,DOM,Middle blocker,MB
World Cup,2019,http:///,Gaila Ceneida Gonzalez Lopez,1997-01-25,24,188,73,304,276,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/dom-dominican%20republic/players/gaila_ceneida_gonzalez_lopez?id=77084,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87401&Type=Press&height=450&stretch=uniformtofill&width=300,DOM,Opposite spiker,OPP
