id,name,date_of_birth,height,weight,spike,block
0,Fabiana Claudino,24/01/1985,193,76,314,293
1,Ana Tiemi Takagui,26/10/1987,187,74,295,284
2,Danielle Lins,5/01/1985,181,68,290,276
3,Paula Pequeno,22/01/1982,184,74,302,285
4,Caroline De Oliveira Saad Gattaz,27/07/1981,192,78,315,299
5,Thaisa Daher de Menezes,15/05/1987,196,79,316,301
6,Marianne Steinbrecher,23/08/1983,188,70,310,290
7,Adenizia Da Silva,18/12/1986,185,63,312,290
8,Natalia Pereira,4/04/1989,186,83,311,295
9,Welissa Gonzaga,9/09/1982,179,76,300,287
10,Joyce Silva,13/06/1984,190,67,311,294
11,Jaqueline Pereira De Carvalho Endres,31/12/1983,186,70,302,286
12,Sheilla Castro De Paula Blassioli,1/07/1983,185,64,302,284
13,Fabiana Oliveira,7/03/1980,169,59,276,266
14,Regiane Bidias,2/10/1986,189,74,304,286
15,Fernanda Ferreira,10/01/1980,173,64,283,264
16,Josefa Fabiola Almeida De Sousa Alves,3/02/1983,184,70,300,285
17,Camila Brait,28/10/1988,170,58,271,256
18,Fernanda Rodrigues,10/05/1986,179,74,308,288
19,Juan Li,15/05/1981,187,72,315,305
20,Ming Xue,23/02/1987,193,72,324,315
21,Yu Luo,27/02/1987,190,75,310,300
22,Yunli Xu,2/08/1987,196,75,317,315
23,Yunwen Ma,19/10/1986,189,76,315,312
24,Jinling Chu,29/07/1984,190,72,310,302
25,Xian Zhang,16/03/1985,168,57,290,280
26,Ruoqi Hui,4/03/1991,189,70,312,305
27,Yanni Zhao,23/10/1988,187,70,310,305
28,Yimei Wang,11/01/1988,190,87,318,305
29,Qiuyue Wei,26/09/1988,182,75,305,300
30,Na Yin,3/02/1988,182,65,305,300
31,Xuan Huo,27/01/1988,190,68,312,305
32,Chen Wang,29/10/1990,182,70,312,302
33,Meng Yin,11/01/1984,190,76,320,318
34,Qian Wang,14/03/1989,174,65,305,295
35,Chunlei Zeng,3/11/1989,187,67,315,315
36,Jingsi Shen,3/05/1989,185,78,305,300
37,Annerys Victoria Vargas Valdez,7/08/1981,196,70,327,320
38,Rossy Dahiana Burgos Herrera,7/04/1985,184,70,305,300
39,Lisvel Elisa Eve Mejia,10/09/1991,194,90,325,315
40,Marianne Fersola Norberto,16/01/1992,191,60,315,310
41,Brenda Castillo,5/06/1992,167,55,245,230
42,Carmen Rosa Caso Sierra,29/11/1981,168,59,240,230
43,Niverka Dharlenis Marte Frica,19/10/1990,178,71,295,283
44,Candida Estefany Arias Perez,11/03/1992,194,68,320,315
45,Nuris Arias  DoÃ±e,20/05/1973,190,78,315,306
46,Milagros Cabral de la Cruz,17/10/1978,182,63,325,320
47,Jeoselyna Rodriguez Santos,9/12/1991,187,63,325,315
48,Karla Miguelina Echenique Medina,16/05/1986,180,65,279,300
49,Cindy Carolina Rondon Martinez,12/11/1987,186,61,320,315
50,Prisilla Rivera Brens,29/12/1984,183,67,309,305
51,Camil Inmaculada Dominguez Martinez,7/12/1991,176,75,285,270
52,Marifranchi Rodriguez,29/08/1990,184,68,310,300
53,Gina Altagracia Mambru Casilla,21/01/1986,182,65,330,315
54,Bethania De La Cruz De PeÃ±a,13/05/1987,188,70,330,320
55,Ana Yorkira Binet Stephens,9/02/1992,174,58,280,260
56,Lenka DÃ¼rr,10/12/1990,171,59,280,270
57,Kathleen WeiÃŸ,2/02/1984,173,64,290,273
58,Denise Hanke,31/08/1989,183,73,297,284
59,Kerstin Tzscherlich,15/02/1978,179,72,295,282
60,Lisa Thomsen,20/08/1985,172,68,290,285
61,Saskia Hippe,16/01/1991,185,67,315,292
62,Heike Beier,9/12/1983,184,73,305,293
63,Nadja Schaus,8/11/1984,187,66,305,295
64,Berit Kauffeldt,8/07/1990,190,75,311,294
65,Anne Matthes,30/04/1985,182,66,312,295
66,Christiane FÃ¼rst,29/03/1985,193,80,323,307
67,Lena MÃ¶llers,6/01/1990,188,74,312,297
68,Sarah Petrausch,31/07/1990,187,85,306,295
69,Sabrina RoÃŸ,11/04/1980,185,68,300,288
70,Maren Fromm,10/07/1986,184,68,303,295
71,Margareta Kozuch,30/10/1986,187,70,309,297
72,Anja Brandt,15/02/1990,195,77,310,295
73,Corina Ssuschke-Voigt,9/05/1983,189,75,310,298
74,Anke Borowikow,13/12/1986,186,70,305,295
75,Megumi Kurihara,31/07/1984,187,69,308,295
76,Yuki Kawai,22/01/1990,169,63,280,275
77,Yoshie Takeshita,18/03/1978,159,53,280,270
78,Kaori Inoue,21/10/1982,182,59,306,300
79,Kazuyo Mori,21/06/1976,175,64,303,291
80,Yuko Sano,26/07/1979,159,54,260,250
