index,id,name,date_of_birth,height,weight,spike,block,link,position_number,country,age_in_2011,age_in_2020
46,47,Yunli Xu,02/08/1987,196,75,317,315,Players.asp?Tourn=WWC2011&Team=CHN&No=123864,,CHN,24,33
47,48,Zhou Yang,21/04/1992,190,78,308,303,Players.asp?Tourn=WWC2011&Team=CHN&No=133590,,CHN,19,28
48,49,Liyi Chen,27/04/1989,184,75,302,290,Players.asp?Tourn=WWC2011&Team=CHN&No=119295,,CHN,22,31
49,50,Yunwen Ma,19/10/1986,190,76,315,307,Players.asp?Tourn=WWC2011&Team=CHN&No=114518,,CHN,25,34
50,51,Lei Zhang,11/01/1985,181,71,316,310,Players.asp?Tourn=WWC2011&Team=CHN&No=132057,,CHN,26,35
51,52,Linlin Fan,01/12/1991,190,77,316,301,Players.asp?Tourn=WWC2011&Team=CHN&No=116423,,CHN,20,29
52,53,Lenka DÃƒÂ¼rr,10/12/1990,171,59,280,270,Players.asp?Tourn=WWC2011&Team=GER&No=119315,,GER,21,30
53,54,Kathleen WeiÃƒÅ¸,02/02/1984,173,64,290,273,Players.asp?Tourn=WWC2011&Team=GER&No=113902,,GER,27,36
54,55,Kerstin Tzscherlich,15/02/1978,179,72,295,282,Players.asp?Tourn=WWC2011&Team=GER&No=111003,,GER,33,42
55,56,Angelina HÃƒÂ¼bner-GrÃƒÂ¼n,02/12/1979,185,74,309,287,Players.asp?Tourn=WWC2011&Team=GER&No=111007,,GER,32,41
56,57,Berit Kauffeldt,08/07/1990,190,75,311,294,Players.asp?Tourn=WWC2011&Team=GER&No=118959,,GER,21,30
57,58,Corina Ssuschke-Voigt,09/05/1983,189,75,310,298,Players.asp?Tourn=WWC2011&Team=GER&No=112479,,GER,28,37
58,59,Anne Matthes,30/04/1985,182,66,312,295,Players.asp?Tourn=WWC2011&Team=GER&No=120334,,GER,26,35
59,60,Christiane FÃƒÂ¼rst,29/03/1985,193,80,323,307,Players.asp?Tourn=WWC2011&Team=GER&No=112473,,GER,26,35
60,61,Saskia Hippe,16/01/1991,185,67,315,292,Players.asp?Tourn=WWC2011&Team=GER&No=118954,,GER,20,29
61,62,Margareta Kozuch,30/10/1986,187,70,309,297,Players.asp?Tourn=WWC2011&Team=GER&No=116179,,GER,25,34
62,63,Maren Fromm,10/07/1986,184,68,303,295,Players.asp?Tourn=WWC2011&Team=GER&No=120333,,GER,25,34
63,64,Lisa Thomsen,20/08/1985,172,68,290,285,Players.asp?Tourn=WWC2011&Team=GER&No=123175,,GER,26,35
64,65,Regina Burchardt,01/07/1983,186,77,302,294,Players.asp?Tourn=WWC2011&Team=GER&No=112480,,GER,28,37
65,66,Mareen Von RÃƒÂ¶mer,26/03/1987,183,73,295,284,Players.asp?Tourn=WWC2011&Team=GER&No=114525,,GER,24,33
66,67,Sara Anzanello,30/07/1980,193,78,316,298,Players.asp?Tourn=WWC2011&Team=ITA&No=113620,,ITA,31,40
67,68,Cristina Barcellini,20/11/1986,183,78,307,292,Players.asp?Tourn=WWC2011&Team=ITA&No=124171,,ITA,25,34
68,69,Paola Croce,06/03/1978,167,52,290,265,Players.asp?Tourn=WWC2011&Team=ITA&No=113630,,ITA,33,42
69,70,Monica De Gennaro,08/01/1987,174,67,292,217,Players.asp?Tourn=WWC2011&Team=ITA&No=115478,,ITA,24,33
70,71,Carolina del Pilar Costagrande,15/10/1980,188,80,312,291,Players.asp?Tourn=WWC2011&Team=ITA&No=134088,,ITA,31,40
71,72,Caterina Bosetti,02/02/1994,179,59,299,281,Players.asp?Tourn=WWC2011&Team=ITA&No=123744,,ITA,17,26
72,73,Immacolata Sirressi,19/05/1990,175,62,290,220,Players.asp?Tourn=WWC2011&Team=ITA&No=118763,,ITA,21,30
73,74,Valentina Arrighetti,26/01/1985,185,72,318,310,Players.asp?Tourn=WWC2011&Team=ITA&No=112728,,ITA,26,35
74,75,Eleonora Lo Bianco,22/12/1979,171,67,287,273,Players.asp?Tourn=WWC2011&Team=ITA&No=113627,,ITA,32,41
75,76,Antonella Del Core,05/11/1980,180,70,296,279,Players.asp?Tourn=WWC2011&Team=ITA&No=114249,,ITA,31,40
76,77,Lucia Bosetti,09/07/1989,178,63,310,292,Players.asp?Tourn=WWC2011&Team=ITA&No=115816,,ITA,22,31
77,78,Simona Gioli,17/09/1977,185,70,307,283,Players.asp?Tourn=WWC2011&Team=ITA&No=113905,,ITA,34,43
78,79,Noemi Signorile,15/02/1990,183,72,294,290,Players.asp?Tourn=WWC2011&Team=ITA&No=132039,,ITA,21,30
79,80,Raphaela Folie,07/03/1991,187,73,324,300,Players.asp?Tourn=WWC2011&Team=ITA&No=135582,,ITA,20,29
80,81,Hitomi Nakamichi,18/09/1985,159,53,270,256,Players.asp?Tourn=WWC2011&Team=JPN&No=134030,,JPN,26,35
81,82,Yoshie Takeshita,18/03/1978,159,53,280,270,Players.asp?Tourn=WWC2011&Team=JPN&No=111715,,JPN,33,42
82,83,Yuko Sano,26/07/1979,159,54,260,250,Players.asp?Tourn=WWC2011&Team=JPN&No=113311,,JPN,32,41
83,84,Mai Yamaguchi,03/07/1983,176,62,304,292,Players.asp?Tourn=WWC2011&Team=JPN&No=122617,,JPN,28,37
84,85,Kotoki Zayasu,11/01/1990,159,57,270,255,Players.asp?Tourn=WWC2011&Team=JPN&No=135413,,JPN,21,30
85,86,Mizuho Ishida,22/01/1988,174,65,301,286,Players.asp?Tourn=WWC2011&Team=JPN&No=119191,,JPN,23,32
86,87,Nana Iwasaka,03/07/1990,187,76,298,293,Players.asp?Tourn=WWC2011&Team=JPN&No=135410,,JPN,21,30
87,88,Erika Shinomiya,03/08/1984,186,78,305,297,Players.asp?Tourn=WWC2011&Team=JPN&No=112717,,JPN,27,36
88,89,Saori Kimura,19/08/1986,185,65,304,293,Players.asp?Tourn=WWC2011&Team=JPN&No=114038,,JPN,25,34
89,90,Risa Shinnabe,11/07/1990,175,64,293,285,Players.asp?Tourn=WWC2011&Team=JPN&No=135411,,JPN,21,30
90,91,Yukiko Ebata,07/11/1989,176,67,305,298,Players.asp?Tourn=WWC2011&Team=JPN&No=132056,,JPN,22,31
91,92,Maiko Kano,15/07/1988,185,72,303,285,Players.asp?Tourn=WWC2011&Team=JPN&No=122614,,JPN,23,32
92,93,Saori Sakoda,18/12/1987,175,63,305,279,Players.asp?Tourn=WWC2011&Team=JPN&No=132053,,JPN,24,33
93,94,Kazuyo Mori,21/06/1976,175,64,303,291,Players.asp?Tourn=WWC2011&Team=JPN&No=124010,,JPN,35,44
94,95,Everlyne Makuto,25/08/1990,181,64,328,308,Players.asp?Tourn=WWC2011&Team=KEN&No=124183,,KEN,21,30
95,96,Esther Wangeci,22/11/1990,180,73,302,296,Players.asp?Tourn=WWC2011&Team=KEN&No=124180,,KEN,21,30
96,97,Diana Khisa,26/05/1987,180,72,305,300,Players.asp?Tourn=WWC2011&Team=KEN&No=117695,,KEN,24,33
97,98,Ruth Jepngetich,09/04/1990,186,74,194,199,Players.asp?Tourn=WWC2011&Team=KEN&No=132935,,KEN,21,30
98,99,Janet Wanja,24/02/1984,175,59,299,287,Players.asp?Tourn=WWC2011&Team=KEN&No=114310,,KEN,27,36
99,100,Roseline Odhiambo,11/03/1981,179,71,280,264,Players.asp?Tourn=WWC2011&Team=KEN&No=133185,,KEN,30,39
100,101,Noel Murambi,29/01/1989,178,68,302,297,Players.asp?Tourn=WWC2011&Team=KEN&No=137998,,KEN,22,31
101,102,Lydia Maiyo,03/11/1988,185,75,325,315,Players.asp?Tourn=WWC2011&Team=KEN&No=112746,,KEN,23,32
102,103,Mercy Moim,01/01/1989,183,72,320,308,Players.asp?Tourn=WWC2011&Team=KEN&No=112744,,KEN,22,31
103,104,Brackcides Khadambi,14/05/1984,180,70,310,306,Players.asp?Tourn=WWC2011&Team=KEN&No=118369,,KEN,27,36
104,105,Judith Tarus,26/06/1986,170,60,260,256,Players.asp?Tourn=WWC2011&Team=KEN&No=112742,,KEN,25,34
105,106,Florence Bosire,26/09/1988,175,60,270,255,Players.asp?Tourn=WWC2011&Team=KEN&No=124315,,KEN,23,32
106,107,Rossy Dahiana Burgos Herrera,07/04/1985,184,70,305,300,Players.asp?Tourn=WWC2011&Team=DOM&No=114295,,DOM,26,35
107,108,Lisvel Elisa Eve Mejia,10/09/1991,194,90,325,315,Players.asp?Tourn=WWC2011&Team=DOM&No=119591,,DOM,20,29
108,109,Brenda Castillo,05/06/1992,167,55,245,230,Players.asp?Tourn=WWC2011&Team=DOM&No=119039,,DOM,19,28
109,110,Carmen Rosa Caso Sierra,29/11/1981,168,59,240,230,Players.asp?Tourn=WWC2011&Team=DOM&No=112460,,DOM,30,39
110,111,Niverka Dharlenis Marte Frica,19/10/1990,178,71,295,283,Players.asp?Tourn=WWC2011&Team=DOM&No=119585,,DOM,21,30
111,112,Candida Estefany Arias Perez,11/03/1992,194,68,320,315,Players.asp?Tourn=WWC2011&Team=DOM&No=119224,,DOM,19,28
112,113,Milagros Cabral de la Cruz,17/10/1978,182,63,325,320,Players.asp?Tourn=WWC2011&Team=DOM&No=113445,,DOM,33,42
113,114,Jeoselyna Rodriguez Santos,09/12/1991,187,63,325,315,Players.asp?Tourn=WWC2011&Team=DOM&No=119587,,DOM,20,29
114,115,Karla Miguelina Echenique Medina,16/05/1986,180,65,300,290,Players.asp?Tourn=WWC2011&Team=DOM&No=112464,,DOM,25,34
115,116,Cindy Carolina Rondon Martinez,12/11/1987,186,61,320,315,Players.asp?Tourn=WWC2011&Team=DOM&No=114085,,DOM,24,33
116,117,Prisilla Rivera Brens,29/12/1984,183,67,309,305,Players.asp?Tourn=WWC2011&Team=DOM&No=112468,,DOM,27,36
117,118,Bethania De La Cruz De PeÃƒÂ±a,13/05/1987,188,70,330,320,Players.asp?Tourn=WWC2011&Team=DOM&No=114294,,DOM,24,33
