id,name,date_of_birth,height,weight,spike,block,link
1,Nadira,Ait Oumghar,09.10.1994,185,77,281,Players.asp?Tourn=WGP2013&Team=ALG&No=135594
2,Dallal Merwa,Achour,03.11.1994,176,60,275,Players.asp?Tourn=WGP2013&Team=ALG&No=135595
3,Salima,Salima,17.01.1984,158,54,270,Players.asp?Tourn=WGP2013&Team=ALG&No=120596
4,Fatma Zahra,Djouad,12.07.1988,180,62,295,Players.asp?Tourn=WGP2013&Team=ALG&No=120602
5,Sara,Sara,18.09.1994,178,60,272,Players.asp?Tourn=WGP2013&Team=ALG&No=146590
6,Silya,Magnana,16.03.1991,181,68,274,Players.asp?Tourn=WGP2013&Team=ALG&No=133380
7,Manel,Yagoubi,25.06.1992,178,70,295,Players.asp?Tourn=WGP2013&Team=ALG&No=133397
8,Zohra,Bensalem,05.04.1990,178,68,310,Players.asp?Tourn=WGP2013&Team=ALG&No=124111
9,Amina,Amina,18.07.1993,173,62,295,Players.asp?Tourn=WGP2013&Team=ALG&No=138025
10,Fatima Zahra,Mazori,18.01.1984,175,67,295,Players.asp?Tourn=WGP2013&Team=ALG&No=113937
11,Mouni,Mouni,19.11.1985,171,60,305,Players.asp?Tourn=WGP2013&Team=ALG&No=112540
12,Safia,Boukhima,10.01.1991,176,64,294,Players.asp?Tourn=WGP2013&Team=ALG&No=120603
13,Nawal,Mansouri,01.08.1985,174,64,291,Players.asp?Tourn=WGP2013&Team=ALG&No=113942
14,Kahina,Messaoudene,15.07.1992,183,56,299,Players.asp?Tourn=WGP2013&Team=ALG&No=133396
15,Aicha,Mezemate,06.06.1991,187,75,300,Players.asp?Tourn=WGP2013&Team=ALG&No=124211
16,Sihem,Saoud.S,18.07.1993,175,62,295,Players.asp?Tourn=WGP2013&Team=ALG&No=138026
17,Lydia,Oulmou,02.02.1986,181,59,291,Players.asp?Tourn=WGP2013&Team=ALG&No=112531
18,Tassadit,Sassa,19.06.1989,184,80,295,Players.asp?Tourn=WGP2013&Team=ALG&No=120601
19,Celia,Bourihane,22.01.1995,178,56,277,Players.asp?Tourn=WGP2013&Team=ALG&No=133834
20,Kahina,Arbouche,04.09.1993,175,60,295,Players.asp?Tourn=WGP2013&Team=ALG&No=143361
21,Yasmine,Ousalah,04.07.1993,174,60,270,Players.asp?Tourn=WGP2013&Team=ALG&No=143375
22,Nawel,Hammouche,25.04.1997,185,66,279,Players.asp?Tourn=WGP2013&Team=ALG&No=135763
23,Lucia,Gaido,19.01.1988,164,53,245,Players.asp?Tourn=WGP2013&Team=ARG&No=124662
24,Josefina,Fernandez,17.08.1991,180,69,300,Players.asp?Tourn=WGP2013&Team=ARG&No=122488
25,Paula Yamila,Nizetich,27.01.1989,181,74,305,Players.asp?Tourn=WGP2013&Team=ARG&No=122486
26,Sol,Piccolo,11.09.1996,184,74,294,Players.asp?Tourn=WGP2013&Team=ARG&No=135935
27,Lucia,Fresco,14.05.1991,195,92,304,Players.asp?Tourn=WGP2013&Team=ARG&No=124661
28,Daniela,Gildenberger,12.06.1984,180,77,300,Players.asp?Tourn=WGP2013&Team=ARG&No=135503
29,Natalia,Aispurua,20.12.1991,192,78,310,Players.asp?Tourn=WGP2013&Team=ARG&No=138013
30,Tanya,Acosta,11.03.1991,182,70,287,Players.asp?Tourn=WGP2013&Team=ARG&No=140381
31,Viviana,Dominko,03.10.1982,172,68,289,Players.asp?Tourn=WGP2013&Team=ARG&No=112338
32,Emilce,Sosa,11.09.1987,177,72,305,Players.asp?Tourn=WGP2013&Team=ARG&No=124660
33,Georgina,Pinedo,30.05.1981,180,64,312,Players.asp?Tourn=WGP2013&Team=ARG&No=113395
34,Tatiana Soledad,Rizzo,30.12.1986,178,64,280,Players.asp?Tourn=WGP2013&Team=ARG&No=122484
35,Leticia,Boscacci,08.11.1985,186,70,302,Players.asp?Tourn=WGP2013&Team=ARG&No=117250
36,Florencia,Carlotto,14.10.1988,183,72,302,Players.asp?Tourn=WGP2013&Team=ARG&No=123034
37,Sherry,Moreno,21.10.1989,185,77,303,Players.asp?Tourn=WGP2013&Team=ARG&No=142510
38,Florencia Natasha,Busquets,27.06.1989,192,68,305,Players.asp?Tourn=WGP2013&Team=ARG&No=122490
39,Antonela Ayelen,Curatola,23.10.1991,175,71,290,Players.asp?Tourn=WGP2013&Team=ARG&No=135505
40,Yael,Castiglione Y,27.09.1985,184,75,295,Players.asp?Tourn=WGP2013&Team=ARG&No=112619
41,Elina,Rodriguez,11.02.1997,189,72,300,Players.asp?Tourn=WGP2013&Team=ARG&No=135938
42,Mariangeles,Cossar,07.04.1990,177,70,290,Players.asp?Tourn=WGP2013&Team=ARG&No=138016
43,Maria Sol,Calvete,14.09.1994,179,65,295,Players.asp?Tourn=WGP2013&Team=ARG&No=135924
44,Eugenia,Nosach,31.03.1993,175,66,290,Players.asp?Tourn=WGP2013&Team=ARG&No=143179
45,Fabiana,Fabiana,24.01.1985,193,76,314,Players.asp?Tourn=WGP2013&Team=BRA&No=112628
46,Juciely Cristina,Juciely,18.12.1980,184,71,312,Players.asp?Tourn=WGP2013&Team=BRA&No=132589
47,Danielle,Dani Lins,05.01.1985,181,68,290,Players.asp?Tourn=WGP2013&Team=BRA&No=112625
48,Ellen,Ellen,12.06.1991,178,65,288,Players.asp?Tourn=WGP2013&Team=BRA&No=134625
49,Adenizia,Adê,18.12.1986,185,63,312,Players.asp?Tourn=WGP2013&Team=BRA&No=113955
50,Thaisa,Thaisa,15.05.1987,196,79,316,Players.asp?Tourn=WGP2013&Team=BRA&No=113963
51,Priscila,Priscila,10.08.1988,182,74,290,Players.asp?Tourn=WGP2013&Team=BRA&No=115970
52,Claudia,Claudia,21.09.1987,181,80,290,Players.asp?Tourn=WGP2013&Team=BRA&No=138832
53,Michelle,Michelle,31.10.1986,178,62,295,Players.asp?Tourn=WGP2013&Team=BRA&No=115522
54,Gabriela,Gabi,19.05.1994,180,65,305,Players.asp?Tourn=WGP2013&Team=BRA&No=136896
55,Tandara,Tandara,30.10.1988,184,87,305,Players.asp?Tourn=WGP2013&Team=BRA&No=115958
56,Natalia,Natália,04.04.1989,186,83,311,Players.asp?Tourn=WGP2013&Team=BRA&No=115952
57,Sheilla,Sheilla,01.07.1983,185,64,302,Players.asp?Tourn=WGP2013&Team=BRA&No=112366
58,Fabiana,Fabí,07.03.1980,169,59,276,Players.asp?Tourn=WGP2013&Team=BRA&No=113162
59,Monique,Monique,31.10.1986,178,67,294,Players.asp?Tourn=WGP2013&Team=BRA&No=141870
60,Fernanda,Fe Garay,10.05.1986,179,74,308,Players.asp?Tourn=WGP2013&Team=BRA&No=112641
61,Josefa Fabiola,Fabiola,03.02.1983,184,70,300,Players.asp?Tourn=WGP2013&Team=BRA&No=119147
62,Camila,C. Brait,28.10.1988,170,58,271,Players.asp?Tourn=WGP2013&Team=BRA&No=119241
63,Leticia Magnani,Leticia,09.09.1990,187,83,301,Players.asp?Tourn=WGP2013&Team=BRA&No=124053
64,Ana Beatriz,Ana Beatriz,07.02.1992,187,70,298,Players.asp?Tourn=WGP2013&Team=BRA&No=119566
