id,name,date_of_birth,height,weight,spike,block,link
1,Nadira Ait Oumghar,09/10/1994,185,77,281,263,Players.asp?Tourn=WU202013&Team=ALG&No=135594
2,Yasmine Abderrahim,16/04/1999,182,62,290,283,Players.asp?Tourn=WU202013&Team=ALG&No=136728
3,Sara Belhocine,18/09/1994,178,60,272,260,Players.asp?Tourn=WU202013&Team=ALG&No=146590
4,Louiza Bayou,25/05/1994,172,60,285,279,Players.asp?Tourn=WU202013&Team=ALG&No=135596
5,Titem Hani,13/01/1996,161,52,258,245,Players.asp?Tourn=WU202013&Team=ALG&No=142090
6,Sarah Akroun,05/02/1994,176,60,266,253,Players.asp?Tourn=WU202013&Team=ALG&No=133832
7,Chanez Ayadi,08/02/1994,173,59,271,254,Players.asp?Tourn=WU202013&Team=ALG&No=133833
8,Wissem Samia Dali,01/09/1995,174,58,266,260,Players.asp?Tourn=WU202013&Team=ALG&No=135666
9,Nawel Hammouche,25/04/1997,185,66,279,265,Players.asp?Tourn=WU202013&Team=ALG&No=135763
10,Dallal Merwa Achour,03/11/1994,176,60,275,262,Players.asp?Tourn=WU202013&Team=ALG&No=135595
11,Zaidi Amel,03/03/1995,175,58,278,260,Players.asp?Tourn=WU202013&Team=ALG&No=142357
12,Celia Bourihane,22/01/1995,178,56,277,255,Players.asp?Tourn=WU202013&Team=ALG&No=133834
13,Naiane De Almeida Rios,29/11/1994,179,63,276,281,Players.asp?Tourn=WU202013&Team=BRA&No=136890
14,Maira Cipriano Claro,07/03/1995,187,62,300,278,Players.asp?Tourn=WU202013&Team=BRA&No=140414
15,Saraelen Leandro Ferreira Lima,16/04/1994,184,76,302,282,Players.asp?Tourn=WU202013&Team=BRA&No=140415
16,Gabriela Braga Guimaraes,19/05/1994,180,65,305,289,Players.asp?Tourn=WU202013&Team=BRA&No=136896
17,Rosamaria Montibeller,09/04/1994,185,76,291,285,Players.asp?Tourn=WU202013&Team=BRA&No=136897
18,Giovana Gasparini,05/07/1994,172,74,281,264,Players.asp?Tourn=WU202013&Team=BRA&No=140417
19,Valquiria Carboni Dullius,19/08/1994,188,72,288,281,Players.asp?Tourn=WU202013&Team=BRA&No=136899
20,Paula Camila Mohr,23/04/1994,187,69,294,280,Players.asp?Tourn=WU202013&Team=BRA&No=136900
21,Milka MarcÃ­lia Medeiros Silva,18/07/1994,190,75,307,291,Players.asp?Tourn=WU202013&Team=BRA&No=140418
22,Domingas Soares AraÃºjo,09/09/1994,182,82,311,290,Players.asp?Tourn=WU202013&Team=BRA&No=140419
23,Sara Aparecida Dias Da Silva,29/04/1994,185,75,29,301,Players.asp?Tourn=WU202013&Team=BRA&No=136909
24,Daniela GuimarÃ£es,29/07/1994,168,63,274,265,Players.asp?Tourn=WU202013&Team=BRA&No=140420
25,Gergana Dimitrova,28/02/1996,184,71,305,288,Players.asp?Tourn=WU202013&Team=BUL&No=142341
26,Milena Dimova,05/07/1994,189,61,306,295,Players.asp?Tourn=WU202013&Team=BUL&No=142335
27,Ralina Doshkova,07/06/1995,188,64,303,295,Players.asp?Tourn=WU202013&Team=BUL&No=142342
28,Kristiana Petlichka,06/07/1994,183,67,290,278,Players.asp?Tourn=WU202013&Team=BUL&No=142343
29,Simona Dimitrova,17/07/1994,185,82,290,280,Players.asp?Tourn=WU202013&Team=BUL&No=142345
30,Miroslava Paskova,16/02/1996,180,67,299,280,Players.asp?Tourn=WU202013&Team=BUL&No=142347
31,Petya Barakova,18/06/1994,180,76,283,271,Players.asp?Tourn=WU202013&Team=BUL&No=142348
32,Kristina Guncheva,24/03/1994,178,61,282,271,Players.asp?Tourn=WU202013&Team=BUL&No=142373
33,Proletka Ivanova,04/10/1995,182,76,298,285,Players.asp?Tourn=WU202013&Team=BUL&No=142331
34,Mira Todorova,12/04/1994,187,73,312,300,Players.asp?Tourn=WU202013&Team=BUL&No=142337
