id,name,date_of_birth,height,weight,spike,block,link
1,Lucia, Gaido,19/01/1988,164,53,245,Players.asp?Tourn=WGP2012&Team=ARG&No=124662
2,Josefina, Fernandez,17/08/1991,180,69,300,Players.asp?Tourn=WGP2012&Team=ARG&No=122488
3,Paula Yamila, Nizetich,27/01/1989,181,74,305,Players.asp?Tourn=WGP2012&Team=ARG&No=122486
4,Clarisa, Sagardia,29/06/1989,174,67,290,Players.asp?Tourn=WGP2012&Team=ARG&No=135504
5,Lucia, Fresco,14/05/1991,195,92,304,Players.asp?Tourn=WGP2012&Team=ARG&No=124661
6,Luisina, Yaccuzzi,12/06/1989,175,70,300,Players.asp?Tourn=WGP2012&Team=ARG&No=138786
7,Julieta, Puntin,06/12/1989,183,71,302,Players.asp?Tourn=WGP2012&Team=ARG&No=138787
8,Tatiana Soledad, Rizzo,30/12/1986,178,64,280,Players.asp?Tourn=WGP2012&Team=ARG&No=122484
9,Camila, Jersonsky,30/05/1991,181,68,305,Players.asp?Tourn=WGP2012&Team=ARG&No=123035
10,Emilce, Sosa,11/09/1987,177,72,305,Players.asp?Tourn=WGP2012&Team=ARG&No=124660
11,Georgina, Pinedo,30/05/1981,180,64,312,Players.asp?Tourn=WGP2012&Team=ARG&No=113395
12,Graciela, Allende,07/10/1994,167,75,270,Players.asp?Tourn=WGP2012&Team=ARG&No=135930
13,Leticia, Boscacci,08/11/1985,186,70,302,Players.asp?Tourn=WGP2012&Team=ARG&No=117250
14,Florencia, Carlotto,14/10/1988,183,72,302,Players.asp?Tourn=WGP2012&Team=ARG&No=123034
15,Maria Sol, Calvete,14/09/1994,179,65,295,Players.asp?Tourn=WGP2012&Team=ARG&No=135924
16,Florencia Natasha, Busquets,27/06/1989,192,68,305,Players.asp?Tourn=WGP2012&Team=ARG&No=122490
17,Antonela Ayelen, Curatola,23/10/1991,175,71,290,Players.asp?Tourn=WGP2012&Team=ARG&No=135505
18,Yael, Castiglione Y,27/09/1985,184,75,295,Players.asp?Tourn=WGP2012&Team=ARG&No=112619
19,Mariangeles, Cossar,07/04/1990,177,70,290,Players.asp?Tourn=WGP2012&Team=ARG&No=138016
20,Marianela, Garbari,13/11/1980,165,65,280,Players.asp?Tourn=WGP2012&Team=ARG&No=135779
21,Yimei, Wang Y.M.,11/01/1988,190,87,318,Players.asp?Tourn=WGP2012&Team=CHN&No=114285
22,Yang, Mi Y.,24/01/1989,180,70,305,Players.asp?Tourn=WGP2012&Team=CHN&No=119296
23,Jie, Yang J.,01/03/1994,194,82,312,Players.asp?Tourn=WGP2012&Team=CHN&No=119302
24,Ruoqi, Hui R.Q.,04/03/1991,189,70,312,Players.asp?Tourn=WGP2012&Team=CHN&No=123853
25,Na, Wang N.,25/02/1990,178,63,305,Players.asp?Tourn=WGP2012&Team=CHN&No=124133
26,Jinling, Chu J.L.,29/07/1984,190,72,310,Players.asp?Tourn=WGP2012&Team=CHN&No=123852
27,Xian, Zhang X.,16/03/1985,168,57,290,Players.asp?Tourn=WGP2012&Team=CHN&No=118621
28,Qiuyue, Wei Q.Y,26/09/1988,182,75,305,Players.asp?Tourn=WGP2012&Team=CHN&No=114976
29,Junjing, Yang J.J.,15/05/1989,190,70,308,Players.asp?Tourn=WGP2012&Team=CHN&No=118690
30,Danna, Shan D.N.,08/10/1991,168,60,290,Players.asp?Tourn=WGP2012&Team=CHN&No=124138
31,Yunli, Xu Y.L.,02/08/1987,196,75,317,Players.asp?Tourn=WGP2012&Team=CHN&No=123864
32,Chunlei, Zeng C.L.,03/11/1989,187,67,315,Players.asp?Tourn=WGP2012&Team=CHN&No=114974
33,Ni, Yan N.,02/03/1987,192,74,317,Players.asp?Tourn=WGP2012&Team=CHN&No=138748
34,Congcong, Liu C.C.,08/12/1990,188,70,310,Players.asp?Tourn=WGP2012&Team=CHN&No=138749
35,Yunwen, Ma Y.W.,19/10/1986,190,76,315,Players.asp?Tourn=WGP2012&Team=CHN&No=114518
36,Na, Yin N.,03/02/1988,182,65,305,Players.asp?Tourn=WGP2012&Team=CHN&No=123854
37,Lei, Zhang L.,11/01/1985,181,71,316,Players.asp?Tourn=WGP2012&Team=CHN&No=132057
38,Linlin, Fan L.L.,01/12/1991,190,77,316,Players.asp?Tourn=WGP2012&Team=CHN&No=116423
39,Qian, None,14/03/1989,174,65,305,Players.asp?Tourn=WGP2012&Team=CHN&No=123857
40,Liyi, Chen L.Y.,27/04/1989,184,75,302,Players.asp?Tourn=WGP2012&Team=CHN&No=119295
41,Ming, Xue M.,23/02/1987,193,72,324,Players.asp?Tourn=WGP2012&Team=CHN&No=114516
42,Zhou, Yang Z.,21/04/1992,190,78,308,Players.asp?Tourn=WGP2012&Team=CHN&No=133590
43,Yanan, Qiu Y.N.,16/01/1989,183,62,295,Players.asp?Tourn=WGP2012&Team=CHN&No=135415
44,Jingsi, Sheng J.S.,03/05/1989,185,78,305,Players.asp?Tourn=WGP2012&Team=CHN&No=123862
45,Wilma, Salas,09/03/1991,188,66,313,Players.asp?Tourn=WGP2012&Team=CUB&No=124086
46,Yanelis, Santos,30/03/1986,181,69,324,Players.asp?Tourn=WGP2012&Team=CUB&No=118381
47,Alena, Orta,09/08/1992,186,76,320,Players.asp?Tourn=WGP2012&Team=CUB&No=138784
48,Yoana, Palacios,06/10/1990,184,67,313,Players.asp?Tourn=WGP2012&Team=CUB&No=124084
49,Yunieska, Robles,21/03/1993,185,67,308,Players.asp?Tourn=WGP2012&Team=CUB&No=124161
50,Daymara, Lescay,05/09/1992,184,72,308,Players.asp?Tourn=WGP2012&Team=CUB&No=154412
51,Yamila, Santas,08/11/1992,182,69,301,Players.asp?Tourn=WGP2012&Team=CUB&No=124162
52,Emily, Borrell,19/02/1992,167,55,270,Players.asp?Tourn=WGP2012&Team=CUB&No=124091
53,Rachel, Sanchez,09/01/1989,190,86,316,Players.asp?Tourn=WGP2012&Team=CUB&No=118391
54,Ana Lidia, Cleger,27/11/1989,183,69,300,Players.asp?Tourn=WGP2012&Team=CUB&No=118386
55,Liannes, Simon,18/10/1986,188,70,325,Players.asp?Tourn=WGP2012&Team=CUB&No=113990
56,Dairilys Margarita, Cruz,12/09/1990,183,65,310,Players.asp?Tourn=WGP2012&Team=CUB&No=124085
57,Rosanna, Giel,10/06/1992,187,62,320,Players.asp?Tourn=WGP2012&Team=CUB&No=124087
58,Dayami, Sanchez,14/03/1994,188,64,314,Players.asp?Tourn=WGP2012&Team=CUB&No=133942
59,Yusidey, Silie,11/11/1984,184,77,316,Players.asp?Tourn=WGP2012&Team=CUB&No=118397
60,Yaremis de la Caridad, Mendaro,21/04/1994,188,72,310,Players.asp?Tourn=WGP2012&Team=CUB&No=135957
61,Gyselle de la Caridad, Silva,29/10/1991,184,70,302,Players.asp?Tourn=WGP2012&Team=CUB&No=118398
62,Sulian, Matienzo,14/12/1994,178,67,318,Players.asp?Tourn=WGP2012&Team=CUB&No=133943
63,Jennifer Yanet, Alvarez,19/11/1993,184,72,310,Players.asp?Tourn=WGP2012&Team=CUB&No=124163
64,Heydi, Rodriguez,24/06/1993,184,74,310,Players.asp?Tourn=WGP2012&Team=CUB&No=136265
65,Annerys Victoria, Valdez,07/08/1981,196,70,327,Players.asp?Tourn=WGP2012&Team=DOM&No=113454
66,Winifer Maria, Fernandez,06/01/1995,169,62,270,Players.asp?Tourn=WGP2012&Team=DOM&No=131956
67,Lisvel Elisa, Eve,10/09/1991,194,90,325,Players.asp?Tourn=WGP2012&Team=DOM&No=119591
68,Marianne, Fersola,16/01/1992,191,60,315,Players.asp?Tourn=WGP2012&Team=DOM&No=119544
69,Brenda, Castillo,05/06/1992,167,55,245,Players.asp?Tourn=WGP2012&Team=DOM&No=119039
70,Carmen Rosa, Caso,29/11/1981,168,59,240,Players.asp?Tourn=WGP2012&Team=DOM&No=112460
71,Niverka Dharlenis, Marte,19/10/1990,178,71,295,Players.asp?Tourn=WGP2012&Team=DOM&No=119585
72,Candida Estefany, Arias,11/03/1992,194,68,320,Players.asp?Tourn=WGP2012&Team=DOM&No=119224
73,Sidarka De Los Milagros, Nuñez,25/06/1984,185,62,330,Players.asp?Tourn=WGP2012&Team=DOM&No=114679
74,Milagros, Cabral,17/10/1978,182,63,325,Players.asp?Tourn=WGP2012&Team=DOM&No=113445
75,Jeoselyna, Rodriguez,09/12/1991,187,63,325,Players.asp?Tourn=WGP2012&Team=DOM&No=119587
76,Karla Miguelina, Echenique,16/05/1986,180,65,300,Players.asp?Tourn=WGP2012&Team=DOM&No=112464
77,Cindy Carolina, Rondon,12/11/1987,186,61,320,Players.asp?Tourn=WGP2012&Team=DOM&No=114085
78,Prisilla, Rivera,29/12/1984,183,67,309,Players.asp?Tourn=WGP2012&Team=DOM&No=112468
79,Celenia, Toribio,17/07/1994,181,69,290,Players.asp?Tourn=WGP2012&Team=DOM&No=131957
80,Yonkaira Paola, Peña Isabel,10/05/1993,190,70,320,Players.asp?Tourn=WGP2012&Team=DOM&No=123978
81,Gina Altagracia, Mambru,21/01/1986,182,65,330,Players.asp?Tourn=WGP2012&Team=DOM&No=115391
82,Bethania, De La Cruz,13/05/1987,188,70,330,Players.asp?Tourn=WGP2012&Team=DOM&No=114294
83,Yeniffer Cristina, Ramirez,17/03/1993,183,67,285,Players.asp?Tourn=WGP2012&Team=DOM&No=119222
84,Brayelin Elizabeth, Martinez,11/09/1996,201,83,330,Players.asp?Tourn=WGP2012&Team=DOM&No=123982
85,Lenka, Dürr,10/12/1990,171,59,280,Players.asp?Tourn=WGP2012&Team=GER&No=119315
86,Kathleen, Weiss,02/02/1984,173,64,290,Players.asp?Tourn=WGP2012&Team=GER&No=113902
87,Denise, Hanke,31/08/1989,183,73,297,Players.asp?Tourn=WGP2012&Team=GER&No=119105
88,Kerstin, Tzscherlich,15/02/1978,179,72,295,Players.asp?Tourn=WGP2012&Team=GER&No=111003
89,Anja, Brandt,15/02/1990,195,77,310,Players.asp?Tourn=WGP2012&Team=GER&No=119318
90,Kathy, Radzuweit,02/03/1982,196,76,319,Players.asp?Tourn=WGP2012&Team=GER&No=112051
91,Angelina, Hübner,02/12/1979,185,74,309,Players.asp?Tourn=WGP2012&Team=GER&No=111007
92,Berit, Kauffeldt,08/07/1990,190,75,311,Players.asp?Tourn=WGP2012&Team=GER&No=118959
93,Corina, Ssuschke,09/05/1983,189,75,310,Players.asp?Tourn=WGP2012&Team=GER&No=112479
94,Anne, Matthes,30/04/1985,182,66,312,Players.asp?Tourn=WGP2012&Team=GER&No=120334
95,Christiane, Fürst,29/03/1985,193,80,323,Players.asp?Tourn=WGP2012&Team=GER&No=112473
96,Heike, Beier,09/12/1983,184,73,305,Players.asp?Tourn=WGP2012&Team=GER&No=112477
97,Saskia, Hippe,16/01/1991,185,67,315,Players.asp?Tourn=WGP2012&Team=GER&No=118954
98,Margareta, Kozuch,30/10/1986,187,70,309,Players.asp?Tourn=WGP2012&Team=GER&No=116179
99,Maren, Fromm,10/07/1986,184,68,303,Players.asp?Tourn=WGP2012&Team=GER&No=120333
100,Lisa, Thomsen,20/08/1985,172,68,290,Players.asp?Tourn=WGP2012&Team=GER&No=123175
101,Lena, Möllers,06/01/1990,188,74,312,Players.asp?Tourn=WGP2012&Team=GER&No=118946
102,Nadja, Schaus,08/11/1984,187,66,305,Players.asp?Tourn=WGP2012&Team=GER&No=123177
103,Regina, Burchardt,01/07/1983,186,77,302,Players.asp?Tourn=WGP2012&Team=GER&No=112480
104,Mareen, Apitz,26/03/1987,183,73,295,Players.asp?Tourn=WGP2012&Team=GER&No=114525
105,Claudia, Steger,10/03/1990,0,0,301,Players.asp?Tourn=WGP2012&Team=GER&No=157610
106,Friederike, Thieme,16/04/1987,187,73,302,Players.asp?Tourn=WGP2012&Team=GER&No=135872
107,Luise, Mauersberger,02/07/1990,188,80,296,Players.asp?Tourn=WGP2012&Team=GER&No=118957
108,Sarah, Petrausch,31/07/1990,187,85,306,Players.asp?Tourn=WGP2012&Team=GER&No=118953
109,Megumi, Kurihara,31/07/1984,187,69,308,Players.asp?Tourn=WGP2012&Team=JPN&No=112716
110,Hitomi, Nakamichi,18/09/1985,159,53,270,Players.asp?Tourn=WGP2012&Team=JPN&No=134030
111,Yoshie, Takeshita,18/03/1978,159,53,280,Players.asp?Tourn=WGP2012&Team=JPN&No=111715
112,Kaori, Inoue,21/10/1982,182,59,306,Players.asp?Tourn=WGP2012&Team=JPN&No=122612
113,Ai, Ai,24/03/1982,184,68,312,Players.asp?Tourn=WGP2012&Team=JPN&No=138790
114,Yuko, Sano,26/07/1979,159,54,260,Players.asp?Tourn=WGP2012&Team=JPN&No=113311
115,Mai, Yamaguchi,03/07/1983,176,62,304,Players.asp?Tourn=WGP2012&Team=JPN&No=122617
116,Kotoki, Zayasu,11/01/1990,159,57,270,Players.asp?Tourn=WGP2012&Team=JPN&No=135413
117,Mizuho, Ishida,22/01/1988,174,65,301,Players.asp?Tourn=WGP2012&Team=JPN&No=119191
118,Nana, IWASAKA,03/07/1990,187,76,298,Players.asp?Tourn=WGP2012&Team=JPN&No=135410
119,Erika, ARAKI,03/08/1984,186,78,305,Players.asp?Tourn=WGP2012&Team=JPN&No=112717
120,Saori, Saori,19/08/1986,185,65,304,Players.asp?Tourn=WGP2012&Team=JPN&No=114038
121,Risa, SHINNABE,11/07/1990,175,64,293,Players.asp?Tourn=WGP2012&Team=JPN&No=135411
122,Yukiko, Ebata,07/11/1989,176,67,305,Players.asp?Tourn=WGP2012&Team=JPN&No=132056
123,Maiko, Kano,15/07/1988,185,72,303,Players.asp?Tourn=WGP2012&Team=JPN&No=122614
124,Saori, Sakoda,18/12/1987,175,63,305,Players.asp?Tourn=WGP2012&Team=JPN&No=132053
125,Kanako, Hirai,15/04/1984,183,69,309,Players.asp?Tourn=WGP2012&Team=JPN&No=138789
126,Riho, Ohtake,23/12/1993,182,68,306,Players.asp?Tourn=WGP2012&Team=JPN&No=133107
127,Kanari, Hamaguchi,29/08/1985,167,60,283,Players.asp?Tourn=WGP2012&Team=JPN&No=122618
128,Haruka, MIYASHITA,01/09/1994,177,61,298,Players.asp?Tourn=WGP2012&Team=JPN&No=132100
129,Ayumi, Nakamura,29/08/1990,176,70,294,Players.asp?Tourn=WGP2012&Team=JPN&No=138803
130,Mai, OKUMURA,31/10/1990,177,66,297,Players.asp?Tourn=WGP2012&Team=JPN&No=138802
131,Yuki, ISHII,08/05/1991,180,67,305,Players.asp?Tourn=WGP2012&Team=JPN&No=135416
132,Miyu, NAGAOKA,25/07/1991,179,64,308,Players.asp?Tourn=WGP2012&Team=JPN&No=119385
133,Rika, Nomoto,21/09/1991,180,72,308,Players.asp?Tourn=WGP2012&Team=JPN&No=138801
134,Yoo Na, Bae Yoona,30/11/1989,182,68,285,Players.asp?Tourn=WGP2012&Team=KOR&No=116431
135,Hye Seon, Yeum Hyeseon,03/02/1991,177,65,278,Players.asp?Tourn=WGP2012&Team=KOR&No=120148
136,Joon-Eem, Ha Joon-Eem,26/12/1989,189,74,287,Players.asp?Tourn=WGP2012&Team=KOR&No=116449
137,Sa Nee, Kim Sa Nee,21/06/1981,180,75,302,Players.asp?Tourn=WGP2012&Team=KOR&No=111622
138,Hae Ran, Kim Haeran,16/03/1984,168,60,270,Players.asp?Tourn=WGP2012&Team=KOR&No=112775
139,Su Ji, Kim Suji,11/07/1987,187,68,283,Players.asp?Tourn=WGP2012&Team=KOR&No=114072
140,Hyo-Sook, LIM Hyo-sook,26/04/1982,177,75,278,Players.asp?Tourn=WGP2012&Team=KOR&No=112493
141,Jie Youn, Nam Jieyoun,25/05/1983,170,61,285,Players.asp?Tourn=WGP2012&Team=KOR&No=112496
142,Jeongah, Park Jeongah,26/03/1993,187,75,300,Players.asp?Tourn=WGP2012&Team=KOR&No=131893
143,Yeon Koung, Kim Yeon Koung,26/02/1988,192,73,330,Players.asp?Tourn=WGP2012&Team=KOR&No=116439
