id,name,link,date_of_birth,height,weight,spike,block,age
58,Rachael Adams,/en/teams/usa-usa/players/rachael-adams?id=62158,03/06/1990,188,79,318,307,30
59,Tetori Dixon,/en/teams/usa-usa/players/tetori-dixon?id=62127,04/08/1992,191,83,306,295,28
60,Lauren Carlini,/en/teams/usa-usa/players/lauren-carlini?id=62125,28/02/1995,185,75,302,295,25
61,Lauren Gibbemeyer,/en/teams/usa-usa/players/lauren-gibbemeyer?id=62129,08/09/1988,187,71,307,293,32
62,Madison Kingdon Rishel,/en/teams/usa-usa/players/madison-kingdon-rishel?id=62131,20/04/1993,183,75,307,298,27
63,Jordan Larson,/en/teams/usa-usa/players/jordan-larson?id=62156,16/10/1986,188,75,302,295,34
64,Andrea Drews,/en/teams/usa-usa/players/andrea-drews?id=62128,25/12/1993,191,77,316,312,27
65,Michelle Bartsch-Hackley,/en/teams/usa-usa/players/michelle-bartsch-hackley?id=62123,12/02/1990,190,78,305,296,30
66,Kimberly Hill,/en/teams/usa-usa/players/kimberly-hill?id=62160,30/11/1989,193,72,320,310,31
67,Foluke Akinradewo,/en/teams/usa-usa/players/foluke-akinradewo?id=62159,05/10/1987,191,79,331,300,33
68,Megan Courtney,/en/teams/usa-usa/players/megan-courtney?id=62126,27/10/1993,185,61,314,300,27
69,Aiyana Abukusumo-Whitney,/en/teams/usa-usa/players/aiyana-abukusumo-whitney?id=62157,06/04/1993,194,75,300,290,27
