id,name,date_of_birth,height,weight,spike,block,link
1,Fabiana Claudino,24/01/1985,193,76,314,293,Players.asp?Tourn=WGP2009&Team=BRA&No=112628
2, Ana Tiemi Takagui,26/10/1987,187,74,295,284,Players.asp?Tourn=WGP2009&Team=BRA&No=113966
3,Danielle Lins,5/01/1985,181,68,290,276,Players.asp?Tourn=WGP2009&Team=BRA&No=112625
4, Paula Pequeno,22/01/1982,184,74,302,285,Players.asp?Tourn=WGP2009&Team=BRA&No=112357
5,Caroline De Oliveira Saad Gattaz,27/07/1981,192,78,315,299,Players.asp?Tourn=WGP2009&Team=BRA&No=113245
6, Thaisa Daher de Menezes,15/05/1987,196,79,316,301,Players.asp?Tourn=WGP2009&Team=BRA&No=113963
7,Marianne Steinbrecher,23/08/1983,188,70,310,290,Players.asp?Tourn=WGP2009&Team=BRA&No=114276
8, Adenizia Da Silva,18/12/1986,185,63,312,290,Players.asp?Tourn=WGP2009&Team=BRA&No=113955
9,Natalia Pereira,4/04/1989,186,83,311,295,Players.asp?Tourn=WGP2009&Team=BRA&No=115952
10, Welissa Gonzaga,9/09/1982,179,76,300,287,Players.asp?Tourn=WGP2009&Team=BRA&No=112363
11,Joyce Silva,13/06/1984,190,67,311,294,Players.asp?Tourn=WGP2009&Team=BRA&No=112634
12, Jaqueline Pereira De Carvalho Endres,31/12/1983,186,70,302,286,Players.asp?Tourn=WGP2009&Team=BRA&No=112365
13,Sheilla Castro De Paula Blassioli,1/07/1983,185,64,302,284,Players.asp?Tourn=WGP2009&Team=BRA&No=112366
14, Fabiana Oliveira,7/03/1980,169,59,276,266,Players.asp?Tourn=WGP2009&Team=BRA&No=113162
15,Regiane Bidias,2/10/1986,189,74,304,286,Players.asp?Tourn=WGP2009&Team=BRA&No=113960
16, Fernanda Ferreira,10/01/1980,173,64,283,264,Players.asp?Tourn=WGP2009&Team=BRA&No=113616
17,Josefa Fabiola Almeida De Sousa Alves,3/02/1983,184,70,300,285,Players.asp?Tourn=WGP2009&Team=BRA&No=119147
18, Camila Brait,28/10/1988,170,58,271,256,Players.asp?Tourn=WGP2009&Team=BRA&No=119241
19,Fernanda Rodrigues,10/05/1986,179,74,308,288,Players.asp?Tourn=WGP2009&Team=BRA&No=112641
20,Juan Li,15/05/1981,187,72,315,305,Players.asp?Tourn=WGP2009&Team=CHN&No=112402
21,Ming Xue,23/02/1987,193,72,324,315,Players.asp?Tourn=WGP2009&Team=CHN&No=114516
22,Yu Luo,27/02/1987,190,75,310,300,Players.asp?Tourn=WGP2009&Team=CHN&No=114519
23,Yunli Xu,2/08/1987,196,75,317,315,Players.asp?Tourn=WGP2009&Team=CHN&No=123864
24,Yunwen Ma,19/10/1986,189,76,315,312,Players.asp?Tourn=WGP2009&Team=CHN&No=123861
25,Jinling Chu,29/07/1984,190,72,310,302,Players.asp?Tourn=WGP2009&Team=CHN&No=123859
26,Xian Zhang,16/03/1985,168,57,290,280,Players.asp?Tourn=WGP2009&Team=CHN&No=118621
27,Ruoqi Hui,4/03/1991,189,70,312,305,Players.asp?Tourn=WGP2009&Team=CHN&No=123853
28,Yanni Zhao,23/10/1988,187,70,310,305,Players.asp?Tourn=WGP2009&Team=CHN&No=118692
29,Yimei Wang,11/01/1988,190,87,318,305,Players.asp?Tourn=WGP2009&Team=CHN&No=114285
30,Qiuyue Wei,26/09/1988,182,75,305,300,Players.asp?Tourn=WGP2009&Team=CHN&No=114976
31,Na Yin,3/02/1988,182,65,305,300,Players.asp?Tourn=WGP2009&Team=CHN&No=123854
32,Xuan Huo,27/01/1988,190,68,312,305,Players.asp?Tourn=WGP2009&Team=CHN&No=116426
33,Chen Wang,29/10/1990,182,70,312,302,Players.asp?Tourn=WGP2009&Team=CHN&No=114967
34,Meng Yin,11/01/1984,190,76,320,318,Players.asp?Tourn=WGP2009&Team=CHN&No=123866
35,Qian Wang,14/03/1989,174,65,305,295,Players.asp?Tourn=WGP2009&Team=CHN&No=123857
36,Chunlei Zeng,3/11/1989,187,67,315,315,Players.asp?Tourn=WGP2009&Team=CHN&No=114974
