id,name,date_of_birth,height,weight,spike,block,link
69,Michaela Sabrowske,11/10/1988,186,63,305,295/,VB_PlayerDB.asp?No=119111
70,Sandra Gutsche,12/01/1988,182,65,296,284/,VB_PlayerDB.asp?No=119113
71,Nicole Schr̦ber,28/11/1988,182,70,301,284/,VB_PlayerDB.asp?No=119112
72,Luna Carocci,10/07/1988,174,62,282,262/,VB_PlayerDB.asp?No=115800
73,Alice Lo Cascio,02/10/1988,185,70,303,278/,VB_PlayerDB.asp?No=115804
74,Marilin Strobbe,11/02/1989,189,78,309,300/,VB_PlayerDB.asp?No=115817
75,Stefania Okaka,09/08/1989,184,83,313,288/,VB_PlayerDB.asp?No=118744
76,Manuela Di Crescenzo,21/03/1988,182,63,292,274/,VB_PlayerDB.asp?No=115808
77,Stefania Corna,05/11/1990,190,72,302,280/,VB_PlayerDB.asp?No=115809
78,Costanza Manfredini,16/07/1988,188,67,307,284/,VB_PlayerDB.asp?No=115810
79,Giuseppina Astarita,18/04/1988,182,70,304,280/,VB_PlayerDB.asp?No=115815
80,Lucia Bosetti,09/07/1989,178,63,310,292/,VB_PlayerDB.asp?No=115816
81,Irene Padua,19/02/1989,183,69,300,290/,VB_PlayerDB.asp?No=119199
82,Serena Malvestito,21/08/1988,184,67,307,283/,VB_PlayerDB.asp?No=115818
83,Mizuho Ishida,22/01/1988,174,65,301,286/,VB_PlayerDB.asp?No=119191
84,Koyomi Iwasaki,01/05/1989,175,68,295,280/,VB_PlayerDB.asp?No=119198
85,Miho Watanabe,08/01/1989,166,53,280,265/,VB_PlayerDB.asp?No=119195
86,Keiki Nishiyama,19/10/1988,175,67,295,285/,VB_PlayerDB.asp?No=119193
87,Miku Izuoka,02/07/1989,173,59,292,281/,VB_PlayerDB.asp?No=119196
88,Minami Amazutsumi,08/09/1988,182,77,294,283/,VB_PlayerDB.asp?No=119192
89,Chihiro Kato,22/11/1988,177,60,302,290/,VB_PlayerDB.asp?No=119197
90,Ayumi Hattori,28/07/1988,170,68,290,278/,VB_PlayerDB.asp?No=119206
91,Haruka Sunada,18/04/1988,181,65,300,285/,VB_PlayerDB.asp?No=119205
92,Miho Takahashi,29/11/1988,182,68,295,280/,VB_PlayerDB.asp?No=119194
93,Kyoko Katashita,13/07/1989,158,54,272,258/,VB_PlayerDB.asp?No=119203
94,Nanami Inoue,19/06/1989,179,63,305,280/,VB_PlayerDB.asp?No=119204
95,Michelle Nogueras,05/12/1988,179,58,275,262/,VB_PlayerDB.asp?No=115998
96,Xaimara Colon,11/09/1988,176,62,255,246/,VB_PlayerDB.asp?No=115999
97,Roselly Perez,05/01/1988,185,58,290,283/,VB_PlayerDB.asp?No=115289
98,Yarimar Rosa,20/06/1988,178,62,295,285/,VB_PlayerDB.asp?No=115005
99,Stephanie Enright,15/12/1990,179,56,300,292/,VB_PlayerDB.asp?No=119141
100,Lorraine Aviles,25/06/1990,162,64,305,292/,VB_PlayerDB.asp?No=119142
101,Ana Rosa Luna,16/03/1989,190,71,288,281/,VB_PlayerDB.asp?No=116002
102,Paloma Alvarez,10/09/1989,164,66,300,294/,VB_PlayerDB.asp?No=119143
103,Joyce M. Rivera,12/02/1988,64,171,290,282/,VB_PlayerDB.asp?No=116038
104,Natalia Valentin,12/09/1989,170,61,244,240/,VB_PlayerDB.asp?No=119146
105,Emily Calderon,24/02/1989,64,179,288,276/,VB_PlayerDB.asp?No=116039
106,Loany Torres,11/12/1988,187,79,288,275/,VB_PlayerDB.asp?No=116001
107,Tapaphaipun Chaisri,29/11/1989,168,70,295,276/,VB_PlayerDB.asp?No=118998
108,Marai Kongrom,18/11/1989,180,70,242,236/,VB_PlayerDB.asp?No=119010
109,Phonthip Meechai,02/01/1989,180,66,238,230/,VB_PlayerDB.asp?No=119013
110,Sirintra Srisuma,14/10/1988,174,65,281,266/,VB_PlayerDB.asp?No=117938
111,Patcharee Deesamer,03/02/1989,180,74,306,293/,VB_PlayerDB.asp?No=118997
112,Utaiwan Kaensing,07/09/1988,189,86,310,295/,VB_PlayerDB.asp?No=119005
113,Jaruwan Phudee,03/06/1988,175,55,235,230/,VB_PlayerDB.asp?No=119002
114,Siriporn Sooksen,09/02/1988,180,66,308,292/,VB_PlayerDB.asp?No=119000
115,Em-orn Phanusit,25/03/1988,179,70,302,291/,VB_PlayerDB.asp?No=119012
116,Pornthip Santrong,11/08/1988,178,60,314,295/,VB_PlayerDB.asp?No=118999
