id,name,date_of_birth,height,weight,spike,block,link
0,name,date_of_birth,height,weight,spike,block,link
56,Yanelis Santos Allegne,30/03/1986,183,71,315,312,Players.asp?Tourn=WGP2011&Team=CUB&No=112021
57,Alena Rojas Orta,9/08/1992,186,78,320,305,Players.asp?Tourn=WGP2011&Team=CUB&No=133607
58,Yoana Palacio Mendoza,6/10/1990,184,67,313,300,Players.asp?Tourn=WGP2011&Team=CUB&No=124084
59,Yunieska Robles Batista,21/03/1993,185,67,315,300,Players.asp?Tourn=WGP2011&Team=CUB&No=124161
60,Daymara Lescay Cajigal,5/09/1992,184,72,308,290,Players.asp?Tourn=WGP2011&Team=CUB&No=154412
61,Yumilka Ruiz Luaces,8/05/1978,180,63,326,305,Players.asp?Tourn=WGP2011&Team=CUB&No=118380
62,Emily Borrell Cruz,19/02/1992,167,55,270,260,Players.asp?Tourn=WGP2011&Team=CUB&No=124091
63,Yamila Hernandez Santas,8/11/1992,182,69,301,285,Players.asp?Tourn=WGP2011&Team=CUB&No=124162
64,Ana Lidia Cleger Abel,27/11/1989,183,69,300,285,Players.asp?Tourn=WGP2011&Team=CUB&No=118384
65,Liannes Castañeda Simon,18/10/1986,188,70,325,320,Players.asp?Tourn=WGP2011&Team=CUB&No=113990
66,Dayami Sanchez Savon,14/03/1994,188,64,314,302,Players.asp?Tourn=WGP2011&Team=CUB&No=133942
67,Rosanna Giel Ramos,10/06/1992,187,62,320,315,Players.asp?Tourn=WGP2011&Team=CUB&No=124087
68,Kenia Carcaces Opón,23/01/1986,190,78,322,300,Players.asp?Tourn=WGP2011&Team=CUB&No=118396
69,Yusidey Silie Frómeta,11/11/1984,184,77,316,300,Players.asp?Tourn=WGP2011&Team=CUB&No=118397
70,Heydi Rodríguez López,24/06/1993,184,74,310,305,Players.asp?Tourn=WGP2011&Team=CUB&No=136265
71,Gyselle de la Caridad Silva Franco,29/10/1991,184,70,302,295,Players.asp?Tourn=WGP2011&Team=CUB&No=118398
72,Zoila Barros Fernández,16/08/1976,188,72,328,307,Players.asp?Tourn=WGP2011&Team=CUB&No=118400
73,Jennifer Yanet Alvarez Hernandez,19/11/1993,184,72,310,294,Players.asp?Tourn=WGP2011&Team=CUB&No=124163
74,Sulian Matienzo Linares,14/12/1994,178,67,318,314,Players.asp?Tourn=WGP2011&Team=CUB&No=133943
75,Rossy Dahiana Burgos Herrera,7/04/1985,184,70,305,300,Players.asp?Tourn=WGP2011&Team=DOM&No=114295
76,Lisvel Elisa Eve Mejia,10/09/1991,194,90,325,315,Players.asp?Tourn=WGP2011&Team=DOM&No=119591
77,Marianne Fersola Norberto,16/01/1992,191,60,315,310,Players.asp?Tourn=WGP2011&Team=DOM&No=119544
78,Brenda Castillo,5/06/1992,167,55,245,230,Players.asp?Tourn=WGP2011&Team=DOM&No=119039
79,Carmen Rosa Caso Sierra,29/11/1981,168,59,240,230,Players.asp?Tourn=WGP2011&Team=DOM&No=112460
80,Niverka Dharlenis Marte Frica,19/10/1990,178,71,295,283,Players.asp?Tourn=WGP2011&Team=DOM&No=119585
81,Candida Estefany Arias Perez,11/03/1992,194,68,320,315,Players.asp?Tourn=WGP2011&Team=DOM&No=119224
82,Sidarka De Los Milagros Nuñez,25/06/1984,185,62,330,320,Players.asp?Tourn=WGP2011&Team=DOM&No=114679
83,Milagros Cabral de la Cruz,17/10/1978,182,63,325,320,Players.asp?Tourn=WGP2011&Team=DOM&No=113445
84,Jeoselyna Rodriguez Santos,9/12/1991,187,63,325,315,Players.asp?Tourn=WGP2011&Team=DOM&No=119587
85,Karla Miguelina Echenique Medina,16/05/1986,180,65,300,290,Players.asp?Tourn=WGP2011&Team=DOM&No=112464
86,Cindy Carolina Rondon Martinez,12/11/1987,186,61,320,315,Players.asp?Tourn=WGP2011&Team=DOM&No=114085
87,Prisilla Rivera Brens,29/12/1984,183,67,309,305,Players.asp?Tourn=WGP2011&Team=DOM&No=112468
88,Francia Jackson Cabrera,8/11/1975,168,71,245,235,Players.asp?Tourn=WGP2011&Team=DOM&No=113446
89,Yonkaira Paola Peña Isabel,10/05/1993,190,70,320,310,Players.asp?Tourn=WGP2011&Team=DOM&No=123978
90,Gina Altagracia Mambru Casilla,21/01/1986,182,65,330,315,Players.asp?Tourn=WGP2011&Team=DOM&No=115391
91,Bethania De La Cruz De Peña,13/05/1987,188,70,330,320,Players.asp?Tourn=WGP2011&Team=DOM&No=114294
92,Ana Yorkira Binet Stephens,9/02/1992,174,58,280,260,Players.asp?Tourn=WGP2011&Team=DOM&No=119229
93,Brayelin Elizabeth Martinez,11/09/1996,201,83,330,320,Players.asp?Tourn=WGP2011&Team=DOM&No=123982
94,Kathleen Weiß,2/02/1984,173,64,290,273,Players.asp?Tourn=WGP2011&Team=GER&No=113902
95,Denise Hanke,31/08/1989,183,73,297,284,Players.asp?Tourn=WGP2011&Team=GER&No=119105
96,Kerstin Tzscherlich,15/02/1978,179,72,295,282,Players.asp?Tourn=WGP2011&Team=GER&No=111003
97,Friederike Thieme,16/04/1987,187,73,302,292,Players.asp?Tourn=WGP2011&Team=GER&No=135872
98,Kathy Radzuweit,2/03/1982,196,76,319,300,Players.asp?Tourn=WGP2011&Team=GER&No=112051
99,Patricia Grohmann,27/01/1990,186,80,303,289,Players.asp?Tourn=WGP2011&Team=GER&No=118952
100,Berit Kauffeldt,8/07/1990,190,75,311,294,Players.asp?Tourn=WGP2011&Team=GER&No=118959
101,Corina Ssuschke-Voigt,9/05/1983,189,75,310,298,Players.asp?Tourn=WGP2011&Team=GER&No=112479
